ma_don,ma_kh,san_pham,danh_muc,so_luong,don_gia,ngay_dat,khu_vuc
D00066,KH20,Tai nghe,Dien tu,2,44.0,2024-04-25,Bac
D00067,KH13,Sach Python,Sach,7,18.8,2024-11-02,Bac
D00068,KH07,Giay the thao,Thoi trang,8,59.7,2024-08-27,Nam
D00069,KH12,May xay,Gia dung,5,39.5,2024-09-09,Nam
D00070,KH08,May xay,Gia dung,10,40.5,2024-08-21,Bac
D00071,KH12,Noi com dien,Gia dung,4,55.0,2024-08-29,Bac
D00072,KH25,Laptop,Dien tu,3,1401.8,2024-11-03,Trung
D00073,KH29,Giay the thao,Thoi trang,3,60.1,2024-03-05,Bac
D00074,KH25,Noi com dien,Gia dung,4,54.2,2024-10-19,Trung
D00075,KH01,Sach Spark,Sach,8,26.3,2024-08-28,Nam
D00076,KH07,Ao thun,Thoi trang,7,11.4,2024-04-22,Nam
D00077,KH08,Ao thun,Thoi trang,7,11.8,2024-12-30,Nam
D00078,KH21,Noi com dien,Gia dung,3,50.8,2024-05-19,Nam
D00079,KH36,Quan jean,Thoi trang,2,38.1,2025-01-11,Bac
D00080,KH38,May xay,Gia dung,10,43.5,2025-02-11,Bac
D00081,KH13,Noi com dien,Gia dung,6,60.1,2024-04-05,Trung
D00082,KH22,Tai nghe,Dien tu,3,48.2,2024-11-24,Nam
D00083,KH31,Tai nghe,Dien tu,2,48.5,2024-08-12,Trung
D00084,KH21,May xay,Gia dung,4,41.6,2025-01-13,Nam
D00085,KH08,Sach Python,Sach,11,20.2,2024-03-13,Bac
D00086,KH03,Laptop,Dien tu,1,1646.2,2024-05-31,Trung
D00087,KH40,Giay the thao,Thoi trang,5,58.8,2024-06-27,Trung
D00088,KH03,Noi com dien,Gia dung,10,55.8,2024-04-11,Bac
D00089,KH14,Quan jean,Thoi trang,5,34.9,2024-08-27,Nam
D00090,KH14,Laptop,Dien tu,3,1489.5,2024-09-03,Trung
D00091,KH35,Sach Spark,Sach,1,25.8,2024-08-07,Bac
D00092,KH24,Dien thoai,Dien tu,2,758.4,2024-09-27,Bac
D00093,KH36,May xay,Gia dung,1,42.5,2024-11-20,Bac
D00094,KH05,Noi com dien,Gia dung,2,53.1,2024-06-28,Trung
D00095,KH13,Ao thun,Thoi trang,8,12.1,2024-08-30,Bac
D00096,KH29,Sach Spark,Sach,1,27.0,2024-07-26,Bac
D00097,KH19,May xay,Gia dung,2,39.3,2024-10-09,Nam
D00098,KH02,May xay,Gia dung,11,43.2,2024-12-23,Bac
D00099,KH29,Laptop,Dien tu,3,1612.4,2024-06-27,Bac
D00100,KH13,Ao thun,Thoi trang,5,11.4,2024-10-05,Nam
D00101,KH07,Giay the thao,Thoi trang,7,61.3,2025-01-23,Trung
D00102,KH06,Sach Python,Sach,9,20.5,2024-09-28,Bac
D00103,KH02,Giay the thao,Thoi trang,2,65.6,2025-02-17,Nam
D00104,KH34,Quan jean,Thoi trang,9,32.6,2024-06-25,Bac
D00105,KH28,Noi com dien,Gia dung,11,57.0,2024-05-03,Nam
D00106,KH30,Noi com dien,Gia dung,7,55.4,2024-08-02,Bac
D00107,KH24,May xay,Gia dung,9,40.8,2024-11-11,Nam
D00108,KH36,Tai nghe,Dien tu,3,48.6,2024-06-23,Trung
D00109,KH38,Dien thoai,Dien tu,1,748.4,2024-06-10,Bac
D00110,KH02,Laptop,Dien tu,2,1509.6,2024-07-17,Bac
D00111,KH06,Giay the thao,Thoi trang,1,60.6,2024-09-15,Bac
D00112,KH26,May xay,Gia dung,3,38.2,2024-07-13,Bac
D00113,KH38,Sach Spark,Sach,11,22.7,2024-12-12,Bac
D00114,KH21,Tai nghe,Dien tu,1,44.7,2024-12-13,Bac
D00115,KH20,Dien thoai,Dien tu,3,779.9,2024-04-27,Nam
D00116,KH20,Tai nghe,Dien tu,3,48.2,2024-06-08,Nam
D00117,KH37,Dien thoai,Dien tu,3,831.5,2024-05-21,Bac
D00118,KH04,Giay the thao,Thoi trang,1,55.5,2024-08-19,Nam
D00119,KH09,Dien thoai,Dien tu,3,761.5,2024-12-03,Nam
D00120,KH24,Dien thoai,Dien tu,1,849.5,2024-05-31,Trung
D00121,KH08,Ao thun,Thoi trang,8,12.4,2024-08-01,Nam
D00122,KH18,Tai nghe,Dien tu,2,40.6,2025-02-07,Nam
D00123,KH38,Ao thun,Thoi trang,6,13.1,2025-02-01,Nam
D00124,KH23,Quan jean,Thoi trang,3,33.7,2025-02-03,Nam
D00125,KH15,May xay,Gia dung,4,42.8,2024-04-19,Nam
D00126,KH19,Sach Python,Sach,11,18.7,2024-08-02,Bac
D00127,KH08,Dien thoai,Dien tu,3,730.8,2024-09-24,Trung
D00128,KH37,May xay,Gia dung,4,39.6,2024-03-29,Bac
D00129,KH14,Ao thun,Thoi trang,8,12.7,2024-10-12,Nam
D00130,KH15,Tai nghe,Dien tu,3,42.8,2024-08-17,Bac
D00131,KH31,Ao thun,Thoi trang,5,12.2,2024-09-05,Trung
D00132,KH23,Sach Python,Sach,11,21.3,2024-10-15,Bac
D00133,KH22,Giay the thao,Thoi trang,11,62.6,2024-10-03,Trung
D00134,KH36,Sach Spark,Sach,2,26.9,2024-04-03,Bac
D00135,KH32,Quan jean,Thoi trang,11,36.7,2024-06-02,Bac
D00136,KH32,Sach Spark,Sach,11,25.3,2024-09-23,Bac
D00137,KH22,Noi com dien,Gia dung,7,52.1,2024-07-07,Trung
D00138,KH26,Giay the thao,Thoi trang,3,61.8,2025-02-03,Bac
D00139,KH20,Ao thun,Thoi trang,10,13.3,2024-11-20,Nam
D00140,KH19,Tai nghe,Dien tu,3,48.0,2024-06-07,Nam
D00141,KH04,Giay the thao,Thoi trang,5,61.8,2025-02-25,Trung
D00142,KH01,Laptop,Dien tu,2,1393.8,2024-04-13,Trung
D00143,KH06,Noi com dien,Gia dung,7,50.1,2024-09-21,Bac
D00144,KH34,May xay,Gia dung,10,40.0,2024-06-11,Bac
D00145,KH11,Sach Spark,Sach,9,26.7,2024-04-29,Nam
D00146,KH14,May xay,Gia dung,6,41.8,2024-06-03,Trung
D00147,KH37,Laptop,Dien tu,1,1493.4,2024-04-03,Nam
D00148,KH13,Sach Spark,Sach,2,25.2,2025-02-11,Bac
D00149,KH25,Sach Spark,Sach,10,26.9,2025-02-11,Bac
D00150,KH33,May xay,Gia dung,6,40.8,2024-12-02,Trung
D00151,KH32,Quan jean,Thoi trang,2,35.0,2025-02-12,Bac
D00152,KH15,Sach Spark,Sach,3,23.3,2024-06-21,Trung
D00153,KH33,Laptop,Dien tu,1,1476.7,2025-02-11,Bac
D00154,KH11,Dien thoai,Dien tu,3,848.9,2024-03-18,Nam
D00155,KH10,May xay,Gia dung,9,40.4,2024-04-14,Trung
D00156,KH35,Dien thoai,Dien tu,2,771.4,2025-01-21,Nam
D00157,KH20,Sach Spark,Sach,10,25.3,2024-12-30,Trung
D00158,KH08,Tai nghe,Dien tu,3,44.2,2024-09-25,Nam
D00159,KH31,Noi com dien,Gia dung,11,49.9,2024-08-04,Bac
D00160,KH17,Ao thun,Thoi trang,4,11.3,2024-10-09,Nam
D00161,KH27,May xay,Gia dung,1,42.3,2024-07-18,Nam
D00162,KH28,Dien thoai,Dien tu,3,831.6,2024-05-20,Bac
D00163,KH15,Laptop,Dien tu,2,1392.3,2024-08-03,Bac
D00164,KH37,Giay the thao,Thoi trang,8,63.5,2024-03-06,Nam
D00165,KH34,Sach Python,Sach,5,18.9,2024-03-22,Bac
D00166,KH16,Laptop,Dien tu,2,1530.6,2024-12-26,Trung
D00167,KH25,Dien thoai,Dien tu,3,767.2,2024-09-19,Nam
D00168,KH40,Laptop,Dien tu,3,1623.5,2024-06-14,Trung
D00169,KH05,Quan jean,Thoi trang,6,31.6,2024-03-02,Trung
D00170,KH34,Sach Python,Sach,4,20.5,2025-02-13,Bac
D00171,KH15,Tai nghe,Dien tu,3,45.6,2024-12-03,Bac
D00172,KH34,Sach Spark,Sach,3,23.5,2024-03-30,Bac
D00173,KH01,Sach Python,Sach,5,19.9,2024-03-19,Bac
D00174,KH04,Dien thoai,Dien tu,1,808.3,2024-05-31,Bac
D00175,KH03,Laptop,Dien tu,2,1507.9,2024-08-19,Nam
D00176,KH23,Noi com dien,Gia dung,11,53.3,2025-01-03,Trung
D00177,KH05,Sach Spark,Sach,8,25.0,2024-09-07,Bac
D00178,KH06,Ao thun,Thoi trang,11,12.4,2024-08-24,Bac
D00179,KH30,Quan jean,Thoi trang,8,33.9,2024-12-19,Nam
D00180,KH23,Ao thun,Thoi trang,3,11.3,2025-02-17,Bac
D00181,KH26,Noi com dien,Gia dung,5,53.9,2025-01-31,Trung
D00182,KH31,Tai nghe,Dien tu,3,43.8,2025-02-27,Bac
D00183,KH14,Ao thun,Thoi trang,1,11.3,2024-07-26,Nam
D00184,KH23,Sach Spark,Sach,8,25.0,2025-01-28,Nam
D00185,KH20,May xay,Gia dung,4,42.1,2024-10-06,Bac
D00186,KH03,Tai nghe,Dien tu,3,43.7,2024-11-19,Bac
D00187,KH19,Giay the thao,Thoi trang,2,56.2,2024-03-03,Bac
D00188,KH26,May xay,Gia dung,1,41.4,2025-02-02,Nam
D00189,KH40,Laptop,Dien tu,3,1549.6,2025-02-16,Trung
D00190,KH24,Ao thun,Thoi trang,11,11.5,2024-03-12,Bac
D00191,KH28,Quan jean,Thoi trang,6,33.2,2024-08-22,Bac
D00192,KH17,Laptop,Dien tu,2,1570.2,2025-02-06,Nam
D00193,KH38,Laptop,Dien tu,1,1405.1,2024-07-21,Nam
D00194,KH37,Quan jean,Thoi trang,10,37.1,2024-09-12,Bac
D00195,KH07,Sach Spark,Sach,1,25.0,2025-01-25,Nam
D00196,KH24,Sach Spark,Sach,9,27.3,2024-11-04,Trung
D00197,KH21,Dien thoai,Dien tu,1,739.6,2024-09-22,Bac
D00198,KH35,Dien thoai,Dien tu,3,775.5,2024-09-21,Trung
D00199,KH15,Dien thoai,Dien tu,2,759.7,2024-03-30,Nam
D00200,KH26,May xay,Gia dung,3,38.8,2024-07-09,Trung
D00201,KH22,May xay,Gia dung,2,37.5,2024-07-26,Bac
D00202,KH08,Laptop,Dien tu,1,1438.4,2024-08-27,Bac
D00203,KH33,Noi com dien,Gia dung,8,57.8,2024-08-19,Trung
D00204,KH19,May xay,Gia dung,2,42.3,2024-10-31,Nam
D00205,KH32,Quan jean,Thoi trang,4,33.9,2024-04-09,Trung
D00206,KH16,Tai nghe,Dien tu,2,49.2,2024-12-23,Bac
D00207,KH29,Laptop,Dien tu,1,1381.1,2025-01-24,Nam
D00208,KH06,Sach Spark,Sach,1,27.3,2024-08-28,Bac
D00209,KH08,Tai nghe,Dien tu,1,41.8,2024-06-20,Nam
D00210,KH24,Sach Python,Sach,3,18.3,2024-05-02,Nam
D00211,KH35,Ao thun,Thoi trang,8,12.8,2024-12-17,Nam
D00212,KH15,Quan jean,Thoi trang,8,32.4,2024-03-18,Nam
D00213,KH29,Quan jean,Thoi trang,5,35.9,2024-10-31,Bac
D00214,KH08,Giay the thao,Thoi trang,4,56.2,2024-12-12,Nam
D00215,KH23,Noi com dien,Gia dung,9,53.4,2024-08-23,Trung
D00216,KH24,Quan jean,Thoi trang,10,37.1,2024-12-12,Nam
D00217,KH01,Giay the thao,Thoi trang,11,56.1,2024-06-27,Trung
D00218,KH39,Noi com dien,Gia dung,1,50.4,2024-12-02,Nam
D00219,KH03,May xay,Gia dung,11,36.2,2024-12-28,Bac
D00220,KH30,Sach Python,Sach,10,20.9,2024-10-05,Bac
D00221,KH25,Sach Python,Sach,4,19.2,2024-06-12,Nam
D00222,KH14,Quan jean,Thoi trang,3,37.4,2024-04-08,Trung
D00223,KH02,Giay the thao,Thoi trang,4,58.8,2024-09-10,Bac
D00224,KH21,Dien thoai,Dien tu,1,750.8,2024-09-02,Bac
D00225,KH02,Quan jean,Thoi trang,3,35.5,2024-06-14,Nam
D00226,KH30,Ao thun,Thoi trang,4,12.8,2024-09-17,Nam
D00227,KH34,Noi com dien,Gia dung,2,53.6,2024-03-29,Nam
D00228,KH13,Giay the thao,Thoi trang,6,59.8,2024-07-14,Bac
D00229,KH36,Sach Python,Sach,4,18.3,2024-10-28,Nam
D00230,KH33,Ao thun,Thoi trang,9,11.9,2025-02-03,Bac
D00231,KH22,Laptop,Dien tu,3,1534.3,2025-02-13,Bac
D00232,KH30,Tai nghe,Dien tu,3,47.8,2024-03-09,Bac
D00233,KH36,Sach Spark,Sach,2,26.1,2024-07-31,Nam
D00234,KH11,Giay the thao,Thoi trang,10,65.3,2024-10-13,Bac
D00235,KH34,Giay the thao,Thoi trang,7,60.2,2024-12-07,Nam
D00236,KH22,Sach Spark,Sach,2,23.9,2025-02-21,Trung
D00237,KH36,Noi com dien,Gia dung,7,60.2,2024-04-30,Trung
D00238,KH19,Sach Spark,Sach,7,25.5,2024-09-19,Bac
D00239,KH05,Tai nghe,Dien tu,1,46.6,2024-10-03,Nam
D00240,KH14,Quan jean,Thoi trang,9,32.4,2024-07-22,Trung
D00241,KH06,Sach Python,Sach,4,21.4,2024-05-07,Bac
D00242,KH23,Sach Python,Sach,3,20.3,2024-11-19,Nam
D00243,KH14,Giay the thao,Thoi trang,8,57.3,2025-01-19,Trung
D00244,KH25,Quan jean,Thoi trang,9,32.4,2025-01-29,Trung
D00245,KH18,Giay the thao,Thoi trang,9,61.2,2024-12-24,Nam
D00246,KH09,Ao thun,Thoi trang,9,12.2,2025-01-01,Nam
D00247,KH25,Ao thun,Thoi trang,3,12.8,2024-10-05,Nam
D00248,KH22,Ao thun,Thoi trang,8,13.7,2024-03-08,Nam
D00249,KH05,Dien thoai,Dien tu,1,762.6,2024-11-15,Nam
D00250,KH26,Noi com dien,Gia dung,3,56.2,2025-01-25,Bac
D00251,KH34,Dien thoai,Dien tu,3,750.2,2024-09-11,Trung
D00252,KH31,Ao thun,Thoi trang,3,11.7,2024-04-11,Nam
D00253,KH25,Giay the thao,Thoi trang,3,59.7,2024-04-01,Trung
D00254,KH39,Sach Spark,Sach,7,22.9,2024-09-27,Nam
D00255,KH32,Ao thun,Thoi trang,10,12.9,2024-09-29,Nam
D00256,KH17,Noi com dien,Gia dung,10,53.8,2025-01-09,Bac
D00257,KH11,Sach Spark,Sach,6,22.7,2024-09-19,Bac
D00258,KH28,Quan jean,Thoi trang,5,37.9,2024-09-08,Bac
D00259,KH35,Laptop,Dien tu,3,1473.1,2025-02-09,Nam
D00260,KH01,May xay,Gia dung,7,39.0,2024-05-08,Trung
D00261,KH17,Ao thun,Thoi trang,5,12.2,2024-07-05,Bac
D00262,KH16,Laptop,Dien tu,2,1491.7,2024-11-19,Nam
D00263,KH35,Tai nghe,Dien tu,3,40.8,2024-03-24,Nam
D00264,KH26,Dien thoai,Dien tu,2,872.9,2024-05-09,Nam
D00265,KH05,Tai nghe,Dien tu,3,43.0,2024-06-26,Nam
D00266,KH37,Tai nghe,Dien tu,2,43.9,2024-12-20,Nam
D00267,KH08,Laptop,Dien tu,1,1427.9,2024-08-22,Nam
D00268,KH02,Giay the thao,Thoi trang,9,57.6,2024-07-10,Trung
D00269,KH07,Quan jean,Thoi trang,3,36.2,2024-03-30,Bac
D00270,KH35,Quan jean,Thoi trang,4,37.0,2025-02-13,Bac
D00271,KH07,Tai nghe,Dien tu,3,42.1,2024-12-18,Bac
D00272,KH13,Noi com dien,Gia dung,8,54.9,2024-03-22,Bac
D00273,KH04,Tai nghe,Dien tu,1,43.3,2024-03-04,Nam
D00274,KH26,Dien thoai,Dien tu,1,833.8,2024-06-14,Bac
D00275,KH26,Quan jean,Thoi trang,10,34.1,2024-05-18,Bac
D00276,KH01,Noi com dien,Gia dung,7,50.4,2024-05-16,Bac
D00277,KH22,Laptop,Dien tu,1,1556.4,2024-09-25,Bac
D00278,KH19,Sach Python,Sach,10,20.7,2024-07-11,Trung
D00279,KH10,May xay,Gia dung,8,40.5,2024-10-13,Bac
D00280,KH25,Sach Spark,Sach,2,25.9,2024-10-09,Nam
D00281,KH05,Laptop,Dien tu,3,1641.9,2024-09-20,Bac
D00282,KH40,May xay,Gia dung,4,38.5,2024-08-08,Nam
D00283,KH16,May xay,Gia dung,7,37.9,2025-02-05,Bac
D00284,KH14,Dien thoai,Dien tu,1,736.1,2024-05-12,Bac
D00285,KH25,Noi com dien,Gia dung,4,59.9,2024-12-02,Bac
D00286,KH10,Sach Python,Sach,5,21.1,2025-01-27,Bac
D00287,KH11,Sach Python,Sach,10,19.0,2024-11-13,Nam
D00288,KH25,Dien thoai,Dien tu,3,845.3,2025-01-31,Nam
D00289,KH21,May xay,Gia dung,10,38.1,2025-02-08,Nam
D00290,KH34,Noi com dien,Gia dung,4,56.6,2024-08-07,Nam
D00291,KH17,Sach Python,Sach,10,21.6,2024-07-26,Trung
D00292,KH05,Giay the thao,Thoi trang,7,54.1,2024-05-07,Nam
D00293,KH27,Sach Spark,Sach,2,23.2,2024-08-05,Nam
D00294,KH23,Quan jean,Thoi trang,5,35.6,2025-01-02,Bac
D00295,KH04,Ao thun,Thoi trang,5,12.0,2024-06-09,Bac
D00296,KH09,Dien thoai,Dien tu,3,820.9,2024-09-03,Nam
D00297,KH14,Dien thoai,Dien tu,3,812.8,2024-11-01,Bac
D00298,KH30,Giay the thao,Thoi trang,1,61.4,2025-01-19,Nam
D00299,KH27,Quan jean,Thoi trang,2,37.2,2025-02-26,Nam
D00300,KH25,Tai nghe,Dien tu,2,46.2,2024-04-11,Bac
D00301,KH11,Tai nghe,Dien tu,1,45.0,2024-04-02,Nam
D00302,KH30,Sach Spark,Sach,9,25.2,2024-04-14,Nam
D00303,KH09,May xay,Gia dung,6,43.5,2024-04-17,Nam
D00304,KH23,Ao thun,Thoi trang,3,12.9,2024-10-06,Trung
D00305,KH32,Noi com dien,Gia dung,11,52.9,2024-06-29,Bac
D00306,KH02,Ao thun,Thoi trang,2,13.3,2024-07-04,Bac
D00307,KH07,Dien thoai,Dien tu,1,746.5,2024-04-04,Nam
D00308,KH26,Sach Python,Sach,3,21.5,2024-09-09,Trung
D00309,KH39,Quan jean,Thoi trang,11,33.8,2024-04-28,Nam
D00310,KH21,Ao thun,Thoi trang,4,12.5,2024-04-17,Bac
D00311,KH09,Sach Spark,Sach,8,25.1,2024-12-04,Trung
D00312,KH13,Dien thoai,Dien tu,1,825.0,2024-03-12,Trung
D00313,KH25,Ao thun,Thoi trang,5,12.3,2024-09-04,Nam
D00314,KH02,Ao thun,Thoi trang,3,13.0,2024-09-11,Nam
D00315,KH15,Ao thun,Thoi trang,11,12.7,2024-11-20,Trung
D00316,KH04,Tai nghe,Dien tu,3,43.4,2024-08-21,Nam
D00317,KH23,May xay,Gia dung,2,36.0,2024-06-10,Trung
D00318,KH23,Ao thun,Thoi trang,5,11.6,2025-02-05,Nam
D00319,KH36,Laptop,Dien tu,1,1606.8,2024-09-19,Bac
D00320,KH24,Quan jean,Thoi trang,10,34.6,2025-02-10,Nam
D00321,KH02,Dien thoai,Dien tu,1,848.3,2024-08-02,Bac
D00322,KH03,Laptop,Dien tu,2,1408.1,2024-05-09,Bac
D00323,KH14,Sach Python,Sach,11,20.4,2025-02-25,Nam
D00324,KH07,Quan jean,Thoi trang,10,37.8,2024-09-20,Bac
D00325,KH15,Quan jean,Thoi trang,7,36.7,2024-12-17,Nam
D00326,KH31,May xay,Gia dung,3,37.2,2025-01-26,Nam
D00327,KH25,Giay the thao,Thoi trang,1,65.1,2024-10-24,Bac
D00328,KH22,Quan jean,Thoi trang,1,37.6,2024-10-25,Nam
D00329,KH01,Dien thoai,Dien tu,1,852.1,2025-01-15,Bac
D00330,KH07,Ao thun,Thoi trang,1,12.1,2024-09-05,Bac
D00331,KH11,Sach Python,Sach,2,20.1,2024-03-12,Bac
D00332,KH22,Sach Spark,Sach,1,26.3,2024-07-29,Trung
D00333,KH26,Sach Python,Sach,5,22.0,2024-05-21,Bac
D00334,KH07,Quan jean,Thoi trang,2,36.4,2024-10-25,Trung
D00335,KH37,Laptop,Dien tu,3,1646.1,2024-06-01,Nam
D00336,KH18,Sach Spark,Sach,2,27.4,2025-01-24,Bac
D00337,KH26,Dien thoai,Dien tu,2,814.5,2024-11-13,Bac
D00338,KH37,Laptop,Dien tu,3,1459.7,2024-03-01,Nam
D00339,KH39,Quan jean,Thoi trang,9,37.0,2024-11-04,Bac
D00340,KH08,Ao thun,Thoi trang,10,13.1,2025-02-06,Nam
D00341,KH25,Ao thun,Thoi trang,7,11.9,2024-07-15,Bac
D00342,KH21,Quan jean,Thoi trang,1,31.7,2024-07-31,Nam
D00343,KH09,Ao thun,Thoi trang,10,12.5,2024-10-12,Nam
D00344,KH03,Giay the thao,Thoi trang,11,59.6,2024-04-09,Bac
D00345,KH33,Quan jean,Thoi trang,5,37.8,2024-10-09,Trung
D00346,KH03,Laptop,Dien tu,2,1372.8,2024-04-11,Nam
D00347,KH18,Sach Python,Sach,9,20.9,2024-05-03,Bac
D00348,KH27,Laptop,Dien tu,2,1356.9,2024-06-24,Nam
D00349,KH24,Giay the thao,Thoi trang,3,54.1,2024-08-26,Bac
D00350,KH18,Quan jean,Thoi trang,1,37.4,2024-03-11,Bac
D00351,KH13,Laptop,Dien tu,1,1383.1,2024-08-17,Nam
D00352,KH02,Sach Spark,Sach,2,22.8,2024-06-16,Bac
D00353,KH17,Noi com dien,Gia dung,9,57.5,2024-06-28,Nam
D00354,KH35,May xay,Gia dung,2,41.4,2024-05-02,Nam
D00355,KH09,May xay,Gia dung,3,40.1,2024-11-04,Bac
D00356,KH33,Dien thoai,Dien tu,2,787.2,2024-11-23,Bac
D00357,KH27,Noi com dien,Gia dung,5,53.0,2024-12-03,Trung
D00358,KH09,Tai nghe,Dien tu,1,43.4,2024-05-09,Bac
D00359,KH12,Quan jean,Thoi trang,11,32.0,2024-12-20,Nam
D00360,KH17,Tai nghe,Dien tu,1,46.8,2024-10-12,Bac
D00361,KH40,Noi com dien,Gia dung,1,52.3,2024-08-18,Nam
D00362,KH06,Sach Spark,Sach,4,24.3,2024-12-03,Trung
D00363,KH35,Sach Spark,Sach,8,24.5,2024-07-25,Nam
D00364,KH23,Quan jean,Thoi trang,7,37.4,2024-07-29,Nam
D00365,KH07,May xay,Gia dung,3,38.2,2024-08-26,Trung
D00366,KH31,Sach Spark,Sach,7,25.8,2024-06-18,Bac
D00367,KH14,Ao thun,Thoi trang,11,13.2,2024-04-30,Nam
D00368,KH23,Laptop,Dien tu,2,1494.5,2025-02-07,Bac
D00369,KH20,Tai nghe,Dien tu,2,43.6,2024-07-23,Nam
D00370,KH08,Tai nghe,Dien tu,2,49.3,2024-10-01,Nam
D00371,KH16,Sach Spark,Sach,2,23.3,2024-04-20,Trung
D00372,KH38,Sach Python,Sach,1,20.4,2024-11-05,Trung
D00373,KH32,Tai nghe,Dien tu,2,42.5,2024-07-08,Nam
