ma_gd,ma_kh,so_tien,trang_thai,thoi_gian
GD000119,KH02337,359000.0,THANH CONG,2026-01-01 23:21:00
GD000120,KH01897,3227000.0,CHO XU LY,2026-01-01 23:24:00
GD000121,KH01637,2779000.0,THANH CONG,2026-01-02 00:01:00
GD000122,KH02445,1011000.0,THANH CONG,2026-01-02 00:06:00
GD000123,KH00505,160000.0,THANH CONG,2026-01-02 00:12:00
GD000124,KH02973,1075000.0,THANH CONG,2026-01-02 00:17:00
GD000125,KH01205,282000.0,THANH CONG,2026-01-02 00:17:00
GD000126,KH01844,166000.0,THANH CONG,2026-01-02 00:18:00
GD000127,KH02301,754000.0,THANH CONG,2026-01-02 00:22:00
GD000128,KH02205,1561000.0,THANH CONG,2026-01-02 00:38:00
GD000129,KH01185,2182000.0,THANH CONG,2026-01-02 00:55:00
GD000130,KH00306,155000.0,THANH CONG,2026-01-02 00:56:00
GD000131,KH02748,1270000.0,THANH CONG,2026-01-02 01:10:00
GD000132,KH01215,623000.0,THANH CONG,2026-01-02 01:10:00
GD000133,KH02549,527000.0,THANH CONG,2026-01-02 01:17:00
GD000134,KH01544,285000.0,CHO XU LY,2026-01-02 01:32:00
GD000135,KH02232,153000.0,THAT BAI,2026-01-02 01:40:00
GD000136,KH02250,1889000.0,THANH CONG,2026-01-02 01:45:00
GD000137,KH00558,490000.0,THANH CONG,2026-01-02 01:54:00
GD000138,KH02801,89000.0,THANH CONG,2026-01-02 02:03:00
GD000139,KH01361,677000.0,THANH CONG,2026-01-02 02:10:00
GD000140,KH00487,506000.0,THANH CONG,2026-01-02 02:14:00
GD000141,KH00773,592000.0,THANH CONG,2026-01-02 03:02:00
GD000142,KH00148,777000.0,THANH CONG,2026-01-02 03:04:00
GD000143,KH00478,119000.0,THANH CONG,2026-01-02 03:06:00
GD000144,KH01450,2938000.0,CHO XU LY,2026-01-02 03:22:00
GD000145,KH02333,4579000.0,THANH CONG,2026-01-02 03:46:00
GD000146,KH00066,486000.0,THANH CONG,2026-01-02 03:51:00
GD000147,KH02483,1470000.0,THANH CONG,2026-01-02 04:14:00
GD000148,KH02238,293000.0,THANH CONG,2026-01-02 04:24:00
GD000149,KH00410,354000.0,THANH CONG,2026-01-02 04:40:00
GD000150,KH00486,158000.0,THANH CONG,2026-01-02 06:03:00
GD000151,KH02672,870000.0,THANH CONG,2026-01-02 06:13:00
GD000152,KH02989,596000.0,THAT BAI,2026-01-02 06:23:00
GD000153,KH00168,905000.0,THANH CONG,2026-01-02 06:54:00
GD000154,KH00950,343000.0,CHO XU LY,2026-01-02 06:55:00
GD000155,KH00188,363000.0,THANH CONG,2026-01-02 07:08:00
GD000156,KH02969,1093000.0,THANH CONG,2026-01-02 07:15:00
GD000157,KH02311,865000.0,THAT BAI,2026-01-02 07:21:00
GD000158,KH00689,188000.0,CHO XU LY,2026-01-02 07:22:00
GD000159,KH02472,520000.0,CHO XU LY,2026-01-02 07:33:00
GD000160,KH00654,475000.0,THANH CONG,2026-01-02 07:39:00
GD000161,KH00664,436000.0,THAT BAI,2026-01-02 07:39:00
GD000162,KH02394,506000.0,THANH CONG,2026-01-02 07:39:00
GD000163,KH01003,752000.0,THANH CONG,2026-01-02 08:13:00
GD000164,KH02114,441000.0,THANH CONG,2026-01-02 08:23:00
GD000165,KH01625,331000.0,THANH CONG,2026-01-02 08:27:00
GD000166,KH00671,616000.0,THANH CONG,2026-01-02 08:43:00
GD000167,KH01737,1752000.0,THANH CONG,2026-01-02 09:02:00
GD000168,KH02074,146000.0,THANH CONG,2026-01-02 09:06:00
GD000169,KH02707,2034000.0,THAT BAI,2026-01-02 09:33:00
GD000170,KH00754,496000.0,THANH CONG,2026-01-02 10:53:00
GD000171,KH02879,179000.0,THANH CONG,2026-01-02 10:55:00
GD000172,KH02609,450000.0,THANH CONG,2026-01-02 11:19:00
GD000173,KH01510,446000.0,THANH CONG,2026-01-02 11:21:00
GD000174,KH02687,936000.0,THANH CONG,2026-01-02 11:38:00
GD000175,KH02138,588000.0,THANH CONG,2026-01-02 11:50:00
GD000176,KH01877,1293000.0,THAT BAI,2026-01-02 11:55:00
GD000177,KH00864,1218000.0,THANH CONG,2026-01-02 11:55:00
GD000178,KH01841,746000.0,CHO XU LY,2026-01-02 11:56:00
GD000179,KH00033,492000.0,THANH CONG,2026-01-02 12:06:00
GD000180,KH02426,778000.0,THANH CONG,2026-01-02 12:07:00
GD000181,KH01435,225000.0,THANH CONG,2026-01-02 12:30:00
GD000182,KH02355,3026000.0,CHO XU LY,2026-01-02 13:09:00
GD000183,KH00445,536000.0,THAT BAI,2026-01-02 13:14:00
GD000184,KH00233,144000.0,THANH CONG,2026-01-02 13:15:00
GD000185,KH00858,1969000.0,THAT BAI,2026-01-02 14:02:00
GD000186,KH01992,538000.0,THANH CONG,2026-01-02 14:05:00
GD000187,KH02198,487000.0,THANH CONG,2026-01-02 14:11:00
GD000188,KH00685,148000.0,THAT BAI,2026-01-02 14:32:00
GD000189,KH02701,273000.0,CHO XU LY,2026-01-02 14:33:00
GD000190,KH00645,212000.0,THANH CONG,2026-01-02 14:38:00
GD000191,KH01986,154000.0,THANH CONG,2026-01-02 14:45:00
GD000192,KH00732,220000.0,THANH CONG,2026-01-02 14:56:00
GD000193,KH02606,218000.0,THANH CONG,2026-01-02 15:17:00
GD000194,KH01757,388000.0,THANH CONG,2026-01-02 15:25:00
GD000195,KH02987,2018000.0,CHO XU LY,2026-01-02 15:44:00
GD000196,KH01895,2340000.0,THANH CONG,2026-01-02 16:26:00
GD000197,KH01641,920000.0,THANH CONG,2026-01-02 16:28:00
GD000198,KH02813,199000.0,THANH CONG,2026-01-02 16:38:00
GD000199,KH01396,511000.0,THANH CONG,2026-01-02 16:43:00
GD000200,KH01259,1851000.0,THANH CONG,2026-01-02 17:23:00
GD000201,KH00214,1095000.0,THANH CONG,2026-01-02 17:38:00
GD000202,KH00533,206000.0,THANH CONG,2026-01-02 17:51:00
GD000203,KH02727,1139000.0,THANH CONG,2026-01-02 17:54:00
GD000204,KH02090,341000.0,THANH CONG,2026-01-02 17:57:00
GD000205,KH00754,413000.0,THANH CONG,2026-01-02 18:12:00
GD000206,KH02352,424000.0,THANH CONG,2026-01-02 18:14:00
GD000207,KH01307,416000.0,THANH CONG,2026-01-02 18:29:00
GD000208,KH01482,337000.0,THANH CONG,2026-01-02 18:33:00
GD000209,KH01187,169000.0,THANH CONG,2026-01-02 18:37:00
GD000210,KH02370,782000.0,THANH CONG,2026-01-02 19:05:00
GD000211,KH02611,525000.0,THAT BAI,2026-01-02 19:11:00
GD000212,KH01587,1037000.0,THANH CONG,2026-01-02 19:13:00
GD000213,KH01091,475000.0,THANH CONG,2026-01-02 19:14:00
GD000214,KH01486,677000.0,THANH CONG,2026-01-02 19:21:00
GD000215,KH01971,196000.0,THANH CONG,2026-01-02 19:45:00
GD000216,KH02332,133000.0,THANH CONG,2026-01-02 20:22:00
GD000217,KH02917,112000.0,THANH CONG,2026-01-02 20:30:00
GD000218,KH00604,520000.0,CHO XU LY,2026-01-02 20:33:00
GD000219,KH01384,534000.0,THANH CONG,2026-01-02 20:40:00
GD000220,KH00427,79000.0,THANH CONG,2026-01-02 20:44:00
GD000221,KH00301,216000.0,THANH CONG,2026-01-02 20:51:00
GD000222,KH01566,249000.0,THANH CONG,2026-01-02 20:57:00
GD000223,KH01181,526000.0,THANH CONG,2026-01-02 21:02:00
GD000224,KH02502,334000.0,THAT BAI,2026-01-02 21:07:00
GD000225,KH01929,1284000.0,THANH CONG,2026-01-02 21:10:00
GD000226,KH00674,475000.0,CHO XU LY,2026-01-02 21:12:00
GD000227,KH00898,797000.0,THANH CONG,2026-01-02 21:22:00
GD000228,KH00362,319000.0,THANH CONG,2026-01-02 21:38:00
GD000229,KH02194,223000.0,THANH CONG,2026-01-02 21:58:00
GD000230,KH01517,407000.0,THANH CONG,2026-01-02 22:05:00
GD000231,KH02896,299000.0,THANH CONG,2026-01-02 22:14:00
GD000232,KH00264,831000.0,THANH CONG,2026-01-02 22:30:00
GD000233,KH02004,841000.0,THANH CONG,2026-01-02 22:34:00
GD000234,KH01770,484000.0,CHO XU LY,2026-01-02 22:47:00
GD000235,KH01844,1005000.0,THANH CONG,2026-01-02 22:56:00
GD000236,KH00862,189000.0,THANH CONG,2026-01-02 22:57:00
GD000237,KH02209,281000.0,THANH CONG,2026-01-02 23:05:00
GD000238,KH00780,235000.0,THANH CONG,2026-01-02 23:29:00
GD000239,KH02021,477000.0,THANH CONG,2026-01-02 23:44:00
GD000240,KH01188,558000.0,THANH CONG,2026-01-03 00:11:00
GD000241,KH01621,573000.0,THANH CONG,2026-01-03 00:33:00
GD000242,KH02869,600000.0,THANH CONG,2026-01-03 00:36:00
GD000243,KH02067,873000.0,THANH CONG,2026-01-03 00:37:00
GD000244,KH01001,627000.0,THANH CONG,2026-01-03 00:37:00
GD000245,KH00227,686000.0,CHO XU LY,2026-01-03 00:42:00
GD000246,KH02046,1302000.0,THANH CONG,2026-01-03 00:52:00
GD000247,KH00660,105000.0,THANH CONG,2026-01-03 00:54:00
GD000248,KH01116,378000.0,THANH CONG,2026-01-03 00:56:00
GD000249,KH01303,1217000.0,THANH CONG,2026-01-03 01:02:00
GD000250,KH02787,337000.0,THAT BAI,2026-01-03 01:07:00
GD000251,KH02733,584000.0,THANH CONG,2026-01-03 01:59:00
GD000252,KH00336,465000.0,THANH CONG,2026-01-03 02:13:00
GD000253,KH02905,322000.0,THANH CONG,2026-01-03 02:45:00
GD000254,KH00413,522000.0,THANH CONG,2026-01-03 03:49:00
GD000255,KH01106,381000.0,THANH CONG,2026-01-03 03:50:00
GD000256,KH01299,335000.0,THANH CONG,2026-01-03 03:50:00
GD000257,KH02840,315000.0,THANH CONG,2026-01-03 03:51:00
GD000258,KH02828,736000.0,THANH CONG,2026-01-03 04:02:00
GD000259,KH00685,1896000.0,THANH CONG,2026-01-03 04:33:00
GD000260,KH00378,372000.0,CHO XU LY,2026-01-03 04:37:00
GD000261,KH01950,731000.0,THANH CONG,2026-01-03 04:42:00
GD000262,KH00570,971000.0,THANH CONG,2026-01-03 05:33:00
GD000263,KH02037,630000.0,THANH CONG,2026-01-03 05:36:00
GD000264,KH01051,178000.0,THANH CONG,2026-01-03 06:01:00
GD000265,KH00926,329000.0,CHO XU LY,2026-01-03 06:15:00
GD000266,KH00435,234000.0,THAT BAI,2026-01-03 06:16:00
GD000267,KH00929,300000.0,THAT BAI,2026-01-03 06:34:00
GD000268,KH02594,271000.0,THAT BAI,2026-01-03 06:51:00
GD000269,KH00626,310000.0,THANH CONG,2026-01-03 07:01:00
GD000270,KH02567,181000.0,THANH CONG,2026-01-03 07:07:00
GD000271,KH00830,82000.0,THANH CONG,2026-01-03 07:30:00
GD000272,KH01395,325000.0,THANH CONG,2026-01-03 07:40:00
GD000273,KH00519,401000.0,THANH CONG,2026-01-03 08:24:00
GD000274,KH00661,558000.0,CHO XU LY,2026-01-03 08:30:00
GD000275,KH02049,325000.0,THANH CONG,2026-01-03 08:31:00
GD000276,KH00917,306000.0,THANH CONG,2026-01-03 08:54:00
GD000277,KH01157,108000.0,THANH CONG,2026-01-03 09:06:00
GD000278,KH01438,113000.0,THANH CONG,2026-01-03 09:12:00
GD000279,KH01791,193000.0,THANH CONG,2026-01-03 09:15:00
GD000280,KH01379,712000.0,THAT BAI,2026-01-03 09:44:00
GD000281,KH02075,1808000.0,THANH CONG,2026-01-03 10:09:00
GD000282,KH01587,453000.0,THANH CONG,2026-01-03 10:50:00
GD000283,KH01413,690000.0,THANH CONG,2026-01-03 10:53:00
GD000284,KH00581,300000.0,THANH CONG,2026-01-03 10:53:00
GD000285,KH01950,204000.0,THANH CONG,2026-01-03 11:32:00
GD000286,KH01307,374000.0,THAT BAI,2026-01-03 11:39:00
GD000287,KH00338,1203000.0,THANH CONG,2026-01-03 11:51:00
GD000288,KH01855,657000.0,THANH CONG,2026-01-03 12:12:00
GD000289,KH01964,511000.0,THANH CONG,2026-01-03 12:49:00
GD000290,KH00116,159000.0,THANH CONG,2026-01-03 13:11:00
GD000291,KH02284,959000.0,THANH CONG,2026-01-03 13:27:00
GD000292,KH00916,967000.0,THANH CONG,2026-01-03 13:46:00
GD000293,KH00901,898000.0,THANH CONG,2026-01-03 14:09:00
GD000294,KH00366,596000.0,THANH CONG,2026-01-03 14:13:00
GD000295,KH02566,627000.0,THANH CONG,2026-01-03 14:13:00
GD000296,KH01125,761000.0,THANH CONG,2026-01-03 14:13:00
GD000297,KH01070,530000.0,THANH CONG,2026-01-03 14:26:00
GD000298,KH00171,366000.0,THANH CONG,2026-01-03 14:32:00
GD000299,KH00767,156000.0,THANH CONG,2026-01-03 15:20:00
GD000300,KH02685,857000.0,THANH CONG,2026-01-03 15:25:00
GD000301,KH02758,338000.0,CHO XU LY,2026-01-03 15:33:00
GD000302,KH00262,268000.0,THANH CONG,2026-01-03 16:00:00
GD000303,KH02567,258000.0,THANH CONG,2026-01-03 16:30:00
GD000304,KH01778,418000.0,CHO XU LY,2026-01-03 16:35:00
GD000305,KH02365,332000.0,THANH CONG,2026-01-03 16:35:00
GD000306,KH02778,136000.0,CHO XU LY,2026-01-03 16:46:00
GD000307,KH01089,819000.0,THAT BAI,2026-01-03 16:53:00
GD000308,KH01758,737000.0,THANH CONG,2026-01-03 17:02:00
GD000309,KH01441,458000.0,CHO XU LY,2026-01-03 17:13:00
GD000310,KH01660,748000.0,THANH CONG,2026-01-03 17:26:00
GD000311,KH01862,160000.0,THANH CONG,2026-01-03 18:03:00
GD000312,KH02102,306000.0,THANH CONG,2026-01-03 18:12:00
GD000313,KH02151,2295000.0,THANH CONG,2026-01-03 18:23:00
GD000314,KH02619,856000.0,CHO XU LY,2026-01-03 19:04:00
GD000315,KH01006,172000.0,THANH CONG,2026-01-03 19:12:00
GD000316,KH00698,973000.0,THANH CONG,2026-01-03 19:49:00
GD000317,KH00840,562000.0,THANH CONG,2026-01-03 20:15:00
GD000318,KH02700,342000.0,THANH CONG,2026-01-03 20:24:00
GD000319,KH00327,315000.0,THAT BAI,2026-01-03 20:30:00
GD000320,KH01263,595000.0,THANH CONG,2026-01-03 20:33:00
GD000321,KH00338,298000.0,THANH CONG,2026-01-03 20:36:00
GD000322,KH01550,219000.0,THANH CONG,2026-01-03 21:21:00
GD000323,KH00142,1009000.0,THANH CONG,2026-01-03 21:32:00
GD000324,KH01497,1033000.0,THANH CONG,2026-01-03 21:46:00
GD000325,KH00852,296000.0,THANH CONG,2026-01-03 22:11:00
GD000326,KH01047,767000.0,THANH CONG,2026-01-03 22:24:00
GD000327,KH01059,188000.0,THANH CONG,2026-01-03 22:24:00
GD000328,KH02816,344000.0,THANH CONG,2026-01-03 22:45:00
GD000329,KH02758,232000.0,THANH CONG,2026-01-03 22:46:00
GD000330,KH00333,302000.0,THAT BAI,2026-01-03 23:03:00
GD000331,KH01737,1449000.0,THANH CONG,2026-01-03 23:16:00
GD000332,KH00221,244000.0,THAT BAI,2026-01-03 23:38:00
GD000333,KH02178,1484000.0,THANH CONG,2026-01-03 23:42:00
GD000334,KH00668,241000.0,THANH CONG,2026-01-03 23:47:00
GD000335,KH00813,717000.0,THANH CONG,2026-01-03 23:52:00
GD000336,KH00952,339000.0,THANH CONG,2026-01-04 00:27:00
GD000337,KH01124,287000.0,THANH CONG,2026-01-04 00:34:00
GD000338,KH00989,1467000.0,THANH CONG,2026-01-04 00:47:00
GD000339,KH01823,568000.0,THANH CONG,2026-01-04 00:56:00
GD000340,KH02564,97000.0,THANH CONG,2026-01-04 01:10:00
GD000341,KH01517,134000.0,THANH CONG,2026-01-04 01:24:00
GD000342,KH00975,498000.0,THANH CONG,2026-01-04 01:32:00
GD000343,KH00305,711000.0,THANH CONG,2026-01-04 01:52:00
GD000344,KH00309,268000.0,THANH CONG,2026-01-04 01:55:00
GD000345,KH01784,169000.0,THANH CONG,2026-01-04 02:45:00
GD000346,KH01109,86000.0,THANH CONG,2026-01-04 02:57:00
GD000347,KH01479,1016000.0,THANH CONG,2026-01-04 03:02:00
GD000348,KH02103,540000.0,THANH CONG,2026-01-04 03:06:00
GD000349,KH01202,230000.0,THANH CONG,2026-01-04 03:09:00
GD000350,KH01930,485000.0,THANH CONG,2026-01-04 03:22:00
GD000351,KH02452,127000.0,THANH CONG,2026-01-04 03:24:00
GD000352,KH02186,358000.0,THANH CONG,2026-01-04 03:48:00
GD000353,KH00409,907000.0,CHO XU LY,2026-01-04 04:21:00
GD000354,KH02863,126000.0,THANH CONG,2026-01-04 04:28:00
GD000355,KH00541,667000.0,THANH CONG,2026-01-04 05:08:00
GD000356,KH00950,99000.0,THANH CONG,2026-01-04 05:40:00
GD000357,KH01380,294000.0,THANH CONG,2026-01-04 05:46:00
GD000358,KH02175,138000.0,THANH CONG,2026-01-04 05:54:00
GD000359,KH01904,445000.0,THANH CONG,2026-01-04 05:57:00
GD000360,KH02097,518000.0,THANH CONG,2026-01-04 06:26:00
GD000361,KH02062,915000.0,THANH CONG,2026-01-04 06:44:00
GD000362,KH02577,478000.0,THANH CONG,2026-01-04 06:45:00
GD000363,KH01092,120000.0,THANH CONG,2026-01-04 06:56:00
GD000364,KH02037,140000.0,THANH CONG,2026-01-04 07:03:00
GD000365,KH01399,993000.0,THANH CONG,2026-01-04 07:05:00
GD000366,KH01546,1555000.0,THANH CONG,2026-01-04 07:07:00
GD000367,KH00318,167000.0,THANH CONG,2026-01-04 07:28:00
GD000368,KH01483,1745000.0,THANH CONG,2026-01-04 07:33:00
GD000369,KH01141,391000.0,THANH CONG,2026-01-04 07:45:00
GD000370,KH01930,391000.0,THANH CONG,2026-01-04 07:53:00
GD000371,KH01996,933000.0,THANH CONG,2026-01-04 08:25:00
GD000372,KH00634,860000.0,CHO XU LY,2026-01-04 08:39:00
GD000373,KH02367,372000.0,THAT BAI,2026-01-04 09:06:00
GD000374,KH00248,381000.0,THANH CONG,2026-01-04 09:23:00
GD000375,KH01989,3313000.0,THAT BAI,2026-01-04 09:36:00
GD000376,KH02373,2523000.0,THANH CONG,2026-01-04 09:40:00
GD000377,KH00982,3363000.0,THANH CONG,2026-01-04 09:44:00
GD000378,KH00920,520000.0,THANH CONG,2026-01-04 09:44:00
GD000379,KH02231,1754000.0,THANH CONG,2026-01-04 09:45:00
GD000380,KH02860,922000.0,THANH CONG,2026-01-04 09:55:00
GD000381,KH00121,654000.0,THANH CONG,2026-01-04 09:57:00
GD000382,KH00752,136000.0,THANH CONG,2026-01-04 10:01:00
GD000383,KH00787,1487000.0,THANH CONG,2026-01-04 10:18:00
GD000384,KH01190,1231000.0,THANH CONG,2026-01-04 10:21:00
GD000385,KH01460,222000.0,THANH CONG,2026-01-04 10:25:00
GD000386,KH00166,1069000.0,THANH CONG,2026-01-04 10:34:00
GD000387,KH02264,2111000.0,THANH CONG,2026-01-04 10:39:00
GD000388,KH00987,715000.0,THANH CONG,2026-01-04 10:57:00
GD000389,KH02588,4476000.0,THANH CONG,2026-01-04 11:09:00
GD000390,KH00938,503000.0,THANH CONG,2026-01-04 11:29:00
GD000391,KH01751,553000.0,THANH CONG,2026-01-04 11:34:00
GD000392,KH01398,328000.0,THANH CONG,2026-01-04 12:05:00
GD000393,KH01545,342000.0,THANH CONG,2026-01-04 12:29:00
GD000394,KH00630,595000.0,THANH CONG,2026-01-04 12:29:00
GD000395,KH01557,321000.0,THANH CONG,2026-01-04 12:29:00
