so_bao_danh,ma_tinh,diem_toan,diem_van,diem_anh
53000058,53,9.0,7.75,5.25
59000059,59,3.0,8.5,3.25
57000060,57,7.25,8.75,5.75
18000061,18,9.0,4.25,7.25
33000062,33,3.25,7.0,7.0
62000063,62,8.0,6.5,7.5
58000064,58,4.75,8.25,4.5
57000065,57,6.5,7.0,8.75
42000066,42,5.75,6.75,7.25
35000067,35,8.75,7.0,4.25
10000068,10,8.75,7.75,3.25
16000069,16,4.25,8.5,4.75
21000070,21,8.0,4.75,7.75
29000071,29,7.5,6.0,6.25
06000072,06,9.25,7.75,2.75
45000073,45,4.25,5.75,7.75
10000074,10,6.0,7.25,3.5
26000075,26,7.0,7.0,6.0
21000076,21,3.0,7.0,4.75
09000077,09,8.25,6.5,4.75
60000078,60,8.5,5.5,4.0
08000079,08,8.25,9.5,4.5
15000080,15,5.5,6.0,4.5
26000081,26,9.0,8.5,7.0
52000082,52,8.75,4.5,6.25
24000083,24,2.75,6.5,5.75
08000084,08,7.75,7.0,7.0
28000085,28,6.25,7.0,6.5
22000086,22,6.0,5.75,5.0
21000087,21,8.75,6.75,5.25
04000088,04,7.75,4.5,5.25
09000089,09,5.75,6.75,2.25
18000090,18,5.5,7.5,7.5
36000091,36,7.5,7.5,4.0
45000092,45,8.0,4.5,8.0
22000093,22,9.0,5.5,2.75
22000094,22,4.25,9.75,5.25
34000095,34,6.0,8.0,6.75
10000096,10,5.0,8.0,5.5
34000097,34,7.0,4.5,4.75
19000098,19,7.0,7.25,4.25
30000099,30,7.25,7.75,5.0
41000100,41,4.5,6.0,5.75
26000101,26,5.25,9.0,6.25
58000102,58,5.5,6.5,8.75
20000103,20,4.75,7.75,3.0
04000104,04,6.0,7.25,7.5
17000105,17,7.75,6.25,4.75
48000106,48,10.0,6.5,5.5
08000107,08,10.0,7.5,5.0
18000108,18,7.0,7.0,5.25
16000109,16,6.75,4.25,9.0
06000110,06,4.5,6.25,6.5
32000111,32,9.0,8.25,4.5
10000112,10,8.25,8.5,7.25
04000113,04,5.0,8.75,0.0
05000114,05,8.75,7.5,2.25
03000115,03,7.75,6.75,9.25
55000116,55,6.0,5.75,2.75
23000117,23,3.25,7.25,6.0
24000118,24,7.75,6.25,5.5
57000119,57,4.75,7.5,5.25
34000120,34,5.25,8.0,8.75
07000121,07,3.5,7.5,7.0
25000122,25,8.5,6.5,4.25
55000123,55,6.25,6.75,10.0
23000124,23,5.0,8.0,4.5
55000125,55,6.25,7.25,5.25
43000126,43,6.0,7.25,6.25
37000127,37,6.25,7.0,8.0
03000128,03,5.5,6.25,6.75
19000129,19,7.75,6.25,6.0
02000130,02,4.0,7.5,4.0
35000131,35,10.0,7.5,3.5
53000132,53,5.75,3.0,10.0
40000133,40,5.0,8.25,5.5
33000134,33,7.0,7.75,4.75
37000135,37,4.5,7.75,5.5
51000136,51,7.0,7.0,5.75
42000137,42,6.0,7.0,3.25
34000138,34,7.5,5.5,6.5
02000139,02,5.25,7.0,5.5
57000140,57,4.75,8.0,5.25
29000141,29,6.0,7.0,4.75
23000142,23,7.75,6.5,6.5
33000143,33,4.25,6.0,5.25
47000144,47,5.0,4.0,4.25
21000145,21,4.25,8.0,6.0
47000146,47,6.75,5.5,9.25
48000147,48,6.0,7.75,6.0
32000148,32,4.75,7.75,7.0
63000149,63,4.0,6.25,3.25
33000150,33,5.25,6.5,7.25
10000151,10,7.25,6.75,7.25
24000152,24,4.25,8.75,7.5
08000153,08,5.75,8.0,4.5
16000154,16,7.5,7.75,8.75
32000155,32,7.75,8.0,7.25
55000156,55,6.5,5.5,8.75
43000157,43,7.5,6.5,8.75
01000158,01,6.5,7.25,6.25
05000159,05,3.75,7.5,9.0
05000160,05,5.5,7.75,9.25
20000161,20,6.75,7.75,6.0
60000162,60,5.75,7.5,4.0
37000163,37,6.5,9.75,5.5
41000164,41,7.5,9.0,5.75
29000165,29,8.75,9.25,5.75
21000166,21,6.25,8.75,4.25
05000167,05,5.0,3.75,7.25
57000168,57,7.0,7.25,4.5
41000169,41,8.75,4.5,2.25
40000170,40,5.5,6.75,5.0
58000171,58,8.0,8.0,0.0
53000172,53,6.5,5.25,5.0
32000173,32,8.0,5.25,6.75
35000174,35,5.75,8.25,5.75
53000175,53,7.0,7.0,5.0
20000176,20,8.0,7.75,4.5
20000177,20,4.75,5.0,7.25
40000178,40,5.75,7.25,4.25
37000179,37,9.75,5.75,4.5
56000180,56,6.25,7.25,4.25
26000181,26,6.0,6.0,6.5
55000182,55,3.25,8.5,6.5
41000183,41,5.75,6.5,6.0
30000184,30,7.0,6.5,7.75
48000185,48,5.75,6.25,4.5
40000186,40,7.75,6.0,9.0
11000187,11,6.25,7.25,4.25
42000188,42,4.5,8.5,5.0
39000189,39,6.25,7.5,5.0
19000190,19,9.0,6.5,6.5
42000191,42,6.25,6.5,7.0
02000192,02,8.0,6.0,7.5
03000193,03,8.25,6.75,8.5
58000194,58,6.5,6.5,7.25
52000195,52,6.75,5.25,8.0
04000196,04,4.5,7.0,9.0
05000197,05,10.0,8.0,6.5
52000198,52,5.0,7.75,6.25
58000199,58,6.75,8.5,5.75
35000200,35,4.0,7.5,9.5
21000201,21,7.25,6.0,5.0
36000202,36,7.0,7.25,4.25
08000203,08,7.75,5.5,9.75
54000204,54,6.5,6.5,6.0
50000205,50,5.5,6.75,3.25
58000206,58,4.5,6.5,5.25
43000207,43,4.5,6.75,6.75
51000208,51,3.25,8.5,4.0
14000209,14,4.5,5.5,6.25
41000210,41,7.25,8.0,5.25
43000211,43,8.0,7.0,5.0
13000212,13,5.5,5.5,3.75
49000213,49,2.25,7.0,5.5
11000214,11,6.75,6.5,6.0
27000215,27,6.0,5.25,5.25
02000216,02,4.25,7.25,6.5
37000217,37,6.0,6.0,4.0
16000218,16,7.0,7.75,7.75
13000219,13,4.75,6.75,5.25
05000220,05,5.25,6.75,7.25
33000221,33,7.5,7.5,5.25
06000222,06,7.0,5.75,6.5
60000223,60,6.5,6.0,8.0
63000224,63,4.75,6.75,7.25
25000225,25,6.0,6.25,5.0
50000226,50,6.5,5.75,4.75
43000227,43,6.75,8.5,7.25
12000228,12,6.5,6.75,4.25
39000229,39,7.0,5.5,4.5
09000230,09,5.75,7.75,8.0
24000231,24,7.25,7.5,3.25
27000232,27,7.0,9.0,6.75
01000233,01,4.5,7.0,6.25
40000234,40,4.5,5.5,5.5
30000235,30,7.5,8.25,6.25
52000236,52,10.0,5.75,5.0
42000237,42,7.75,4.5,7.75
62000238,62,5.75,4.25,7.25
58000239,58,6.0,6.5,5.5
22000240,22,5.75,7.25,6.25
22000241,22,7.5,8.0,6.25
42000242,42,6.75,6.25,6.5
54000243,54,6.25,9.0,4.0
12000244,12,8.5,7.25,4.5
17000245,17,5.75,8.0,6.5
22000246,22,6.0,7.5,9.25
53000247,53,6.5,7.5,2.75
44000248,44,4.5,8.25,7.0
42000249,42,4.5,7.25,4.75
45000250,45,7.25,8.25,5.5
61000251,61,4.5,8.25,3.25
41000252,41,4.75,5.0,8.0
60000253,60,9.75,7.5,4.0
09000254,09,5.0,7.25,7.0
48000255,48,9.25,8.75,5.5
21000256,21,7.75,6.25,6.25
15000257,15,1.5,7.0,8.0
63000258,63,5.25,6.75,5.25
23000259,23,5.5,5.5,10.0
45000260,45,5.0,8.0,4.0
06000261,06,8.25,5.25,4.25
28000262,28,7.5,5.5,3.0
25000263,25,4.25,6.0,7.0
49000264,49,7.25,5.75,8.25
44000265,44,6.75,7.5,10.0
20000266,20,7.5,8.5,4.5
06000267,06,7.5,7.0,4.25
25000268,25,4.25,6.0,6.5
48000269,48,7.75,6.75,1.25
42000270,42,6.5,8.5,5.25
42000271,42,8.75,7.75,5.5
15000272,15,5.75,6.75,3.75
22000273,22,7.75,6.0,6.75
52000274,52,8.25,7.75,2.5
16000275,16,5.5,5.0,7.5
23000276,23,6.5,6.5,5.75
16000277,16,2.75,7.5,4.5
32000278,32,8.25,8.5,2.75
02000279,02,7.25,5.5,8.0
44000280,44,9.0,6.5,7.75
40000281,40,5.25,8.25,6.25
27000282,27,5.75,5.0,3.25
06000283,06,7.25,7.0,8.5
56000284,56,9.0,7.75,8.0
46000285,46,5.5,5.5,4.5
62000286,62,8.75,5.5,5.75
39000287,39,8.75,3.75,5.5
09000288,09,6.5,5.75,7.75
25000289,25,6.75,8.0,4.0
58000290,58,6.25,5.25,5.5
58000291,58,6.5,8.75,6.75
09000292,09,2.25,7.75,4.75
43000293,43,5.25,7.25,5.0
06000294,06,6.25,4.75,7.0
33000295,33,6.25,7.75,5.0
48000296,48,6.25,7.25,5.0
30000297,30,6.25,6.5,9.25
46000298,46,8.0,7.5,3.5
11000299,11,8.75,8.0,6.0
21000300,21,4.25,9.25,6.0
51000301,51,4.75,6.75,3.5
47000302,47,8.5,6.25,3.5
43000303,43,5.25,6.5,7.75
26000304,26,2.75,7.0,3.0
37000305,37,4.0,6.75,7.0
03000306,03,6.75,6.25,5.75
20000307,20,9.75,7.0,4.75
24000308,24,7.0,5.25,4.0
19000309,19,4.5,7.75,5.75
31000310,31,7.5,8.0,5.0
53000311,53,4.75,10.0,5.25
44000312,44,5.0,6.5,4.0
47000313,47,9.0,5.75,3.0
51000314,51,4.5,7.25,6.5
14000315,14,7.75,5.5,5.75
28000316,28,8.0,6.5,7.75
26000317,26,6.5,8.25,6.0
25000318,25,7.5,4.5,5.5
40000319,40,4.25,4.5,10.0
22000320,22,6.5,5.5,6.75
32000321,32,3.0,5.75,5.0
23000322,23,5.5,7.25,5.75
54000323,54,8.25,7.5,6.0
17000324,17,7.0,5.75,1.75
47000325,47,5.5,7.5,3.75
39000326,39,5.5,8.75,5.5
62000327,62,8.5,6.0,3.75
59000328,59,8.25,8.0,6.25
10000329,10,7.5,7.25,3.25
26000330,26,3.75,6.0,8.75
09000331,09,5.0,8.25,5.0
05000332,05,8.75,8.0,5.5
10000333,10,9.25,5.5,7.0
45000334,45,5.25,6.75,7.0
35000335,35,8.0,5.25,6.25
22000336,22,2.5,6.0,7.75
52000337,52,7.0,5.5,6.75
13000338,13,10.0,8.0,3.75
28000339,28,8.0,6.5,0.25
12000340,12,7.25,6.5,6.5
10000341,10,6.75,6.25,5.5
20000342,20,3.25,8.0,2.25
03000343,03,4.75,7.5,4.0
23000344,23,7.75,5.75,4.25
03000345,03,6.75,7.5,3.75
23000346,23,6.5,6.5,6.5
17000347,17,8.0,7.25,4.75
06000348,06,8.0,8.25,7.0
14000349,14,6.0,6.0,3.25
22000350,22,6.0,6.75,5.0
40000351,40,3.75,7.25,6.0
30000352,30,5.25,7.5,3.5
40000353,40,6.75,8.75,8.75
59000354,59,7.25,6.5,4.75
09000355,09,7.0,5.75,6.0
52000356,52,7.25,6.0,6.25
05000357,05,8.75,5.25,6.0
44000358,44,5.75,6.5,7.75
57000359,57,6.0,5.75,6.0
54000360,54,7.75,7.5,3.75
12000361,12,5.25,8.0,8.25
08000362,08,6.75,6.5,8.5
61000363,61,7.75,5.25,6.0
26000364,26,6.75,7.0,10.0
21000365,21,5.75,5.75,5.5
01000366,01,3.0,7.25,5.0
20000367,20,5.75,8.0,2.5
24000368,24,3.5,6.0,6.5
53000369,53,5.75,6.5,3.5
11000370,11,6.75,7.25,4.25
54000371,54,4.75,5.25,3.75
49000372,49,8.25,8.0,5.75
45000373,45,6.25,5.5,5.0
43000374,43,5.25,6.75,5.0
14000375,14,6.5,7.25,9.75
30000376,30,7.25,6.75,5.5
08000377,08,5.5,4.5,4.5
46000378,46,10.0,6.0,5.5
08000379,08,5.5,6.0,4.5
58000380,58,7.5,7.75,4.0
55000381,55,4.75,5.5,5.25
60000382,60,7.5,7.75,5.0
03000383,03,7.5,9.0,7.25
50000384,50,3.25,7.5,5.0
08000385,08,7.0,6.75,5.75
57000386,57,8.25,8.25,7.0
46000387,46,5.5,7.25,6.75
54000388,54,6.25,6.0,4.0
50000389,50,7.5,7.0,8.25
17000390,17,7.25,6.75,2.5
23000391,23,7.25,6.5,8.25
59000392,59,6.25,7.0,8.0
40000393,40,7.75,6.0,6.25
20000394,20,10.0,6.75,10.0
57000395,57,4.25,8.75,7.25
41000396,41,8.0,6.0,5.5
42000397,42,4.0,6.5,5.0
36000398,36,4.5,6.25,3.5
10000399,10,5.0,6.75,5.5
62000400,62,5.75,5.25,4.25
13000401,13,7.5,7.25,2.75
55000402,55,3.25,9.25,2.25
41000403,41,10.0,6.75,5.75
18000404,18,5.0,7.25,8.5
41000405,41,10.0,6.25,6.5
25000406,25,7.5,8.0,3.25
21000407,21,4.25,6.5,8.5
49000408,49,5.25,8.5,7.75
51000409,51,4.5,6.75,6.75
54000410,54,10.0,6.5,8.5
35000411,35,6.25,7.25,7.75
29000412,29,5.75,6.75,6.25
09000413,09,4.25,5.25,3.75
08000414,08,4.25,7.75,6.25
61000415,61,7.25,5.5,7.0
06000416,06,7.25,8.75,5.75
43000417,43,7.0,6.25,1.75
19000418,19,8.0,6.5,6.25
15000419,15,7.0,6.75,7.25
21000420,21,7.75,5.5,8.0
40000421,40,7.5,6.0,4.0
29000422,29,6.5,6.5,3.0
52000423,52,7.25,7.0,5.25
16000424,16,8.0,7.0,4.5
32000425,32,6.25,6.0,6.25
63000426,63,3.5,7.5,4.0
23000427,23,6.75,6.25,6.0
06000428,06,7.25,4.5,4.75
52000429,52,3.75,4.5,5.25
09000430,09,6.0,5.75,5.0
42000431,42,7.5,7.75,9.0
40000432,40,4.25,6.25,6.5
05000433,05,7.25,7.75,5.0
14000434,14,7.25,8.75,5.25
22000435,22,7.5,6.5,1.75
42000436,42,3.25,6.25,7.5
60000437,60,8.25,6.5,9.0
27000438,27,7.5,7.75,3.75
21000439,21,6.0,5.5,7.75
44000440,44,5.5,6.5,5.75
28000441,28,7.0,7.5,7.25
30000442,30,5.75,5.0,0.0
52000443,52,5.75,6.25,4.0
43000444,43,6.5,5.25,4.5
23000445,23,5.25,7.0,4.5
43000446,43,6.5,7.0,5.5
45000447,45,4.75,7.0,6.5
57000448,57,4.5,5.5,3.5
18000449,18,5.5,7.75,6.75
53000450,53,6.5,7.0,7.25
51000451,51,6.75,5.25,4.25
46000452,46,7.0,7.5,8.0
46000453,46,7.25,8.0,5.25
52000454,52,8.0,7.0,5.0
49000455,49,7.5,7.5,7.5
58000456,58,6.0,6.0,6.25
48000457,48,5.5,8.75,1.75
19000458,19,7.5,8.5,5.75
21000459,21,6.25,8.75,6.75
35000460,35,6.75,6.25,3.25
23000461,23,7.75,6.25,6.0
06000462,06,3.0,8.75,8.75
43000463,43,5.75,5.25,5.75
60000464,60,5.75,7.25,3.25
02000465,02,6.25,7.25,6.0
53000466,53,7.25,9.0,4.75
13000467,13,5.0,6.5,9.25
32000468,32,9.25,9.75,8.0
33000469,33,9.75,8.25,3.5
61000470,61,7.0,7.75,9.75
15000471,15,7.75,7.75,6.0
36000472,36,9.75,7.0,9.5
55000473,55,8.25,8.0,5.5
17000474,17,5.25,6.5,2.5
54000475,54,6.5,7.0,3.75
02000476,02,7.25,7.25,3.5
11000477,11,7.75,5.75,7.25
51000478,51,6.25,6.75,3.5
07000479,07,6.0,7.75,7.5
24000480,24,5.0,8.0,4.5
06000481,06,10.0,6.75,5.5
60000482,60,7.75,9.25,6.5
58000483,58,5.25,6.0,4.0
34000484,34,6.25,8.5,4.75
17000485,17,7.75,7.0,7.5
57000486,57,6.25,5.75,6.5
25000487,25,7.75,7.0,4.25
40000488,40,8.5,5.5,2.25
20000489,20,6.5,6.0,9.25
41000490,41,7.0,4.5,4.0
57000491,57,8.75,8.0,7.5
01000492,01,5.0,9.75,4.25
18000493,18,4.25,9.5,6.25
34000494,34,6.75,4.75,2.25
26000495,26,10.0,4.75,5.0
55000496,55,4.75,4.75,7.25
51000497,51,6.75,6.25,3.25
10000498,10,7.5,4.25,5.0
11000499,11,5.75,6.75,6.75
56000500,56,5.0,6.5,5.5
37000501,37,5.75,5.75,6.0
50000502,50,6.25,8.0,8.5
49000503,49,4.75,6.25,4.25
39000504,39,5.25,6.0,3.5
05000505,05,5.5,7.75,8.5
62000506,62,2.5,6.0,9.25
08000507,08,5.0,6.25,3.0
24000508,24,5.75,5.75,7.0
07000509,07,6.5,7.25,3.75
15000510,15,5.0,6.25,6.25
05000511,05,6.0,6.0,5.25
63000512,63,6.0,8.0,0.0
25000513,25,2.75,8.0,5.5
43000514,43,7.75,4.75,9.0
42000515,42,5.5,8.5,5.25
40000516,40,6.0,7.25,5.75
14000517,14,7.0,6.5,5.0
16000518,16,7.25,7.0,5.5
34000519,34,5.5,7.5,3.5
52000520,52,8.0,8.0,8.25
54000521,54,7.75,7.75,8.5
19000522,19,10.0,5.5,7.0
08000523,08,5.0,5.25,7.5
59000524,59,7.5,8.25,5.0
39000525,39,6.75,7.25,1.75
15000526,15,7.5,7.25,5.75
20000527,20,6.0,7.0,3.25
41000528,41,6.25,7.5,4.25
02000529,02,6.75,9.5,6.25
08000530,08,9.25,7.5,6.0
05000531,05,4.25,6.75,3.25
56000532,56,7.75,7.5,7.0
02000533,02,6.5,8.25,7.5
32000534,32,9.25,8.25,8.5
55000535,55,6.75,7.0,1.25
05000536,05,5.5,8.0,3.75
35000537,35,3.75,7.0,2.75
41000538,41,9.0,8.0,6.75
25000539,25,5.5,7.0,6.5
33000540,33,8.0,5.25,8.25
37000541,37,7.25,7.25,4.5
45000542,45,6.75,4.25,5.25
29000543,29,5.25,4.75,3.25
05000544,05,4.75,8.0,5.25
09000545,09,4.75,7.0,5.75
53000546,53,7.0,4.75,7.75
08000547,08,7.0,7.5,4.75
49000548,49,4.0,7.0,3.25
50000549,50,7.5,7.25,8.5
30000550,30,5.5,7.25,6.0
59000551,59,5.25,6.5,1.75
09000552,09,5.5,7.75,6.75
11000553,11,4.25,5.5,7.75
39000554,39,7.25,6.5,2.5
21000555,21,4.75,8.75,6.25
36000556,36,5.75,5.25,3.5
20000557,20,6.0,6.25,4.75
08000558,08,9.0,6.25,8.25
51000559,51,7.25,9.0,0.25
33000560,33,7.5,5.5,4.5
51000561,51,8.5,8.0,7.5
52000562,52,8.0,6.75,9.75
30000563,30,5.5,7.75,2.75
38000564,38,5.5,7.75,3.75
41000565,41,6.25,7.5,6.25
01000566,01,5.75,9.0,3.25
29000567,29,6.5,7.5,6.25
22000568,22,9.75,6.25,9.25
45000569,45,9.0,7.25,5.5
47000570,47,7.0,7.0,5.75
51000571,51,6.25,5.0,5.75
17000572,17,6.0,6.25,7.25
06000573,06,5.75,5.5,6.0
14000574,14,8.0,6.5,7.0
49000575,49,10.0,7.25,5.5
47000576,47,5.0,6.25,6.5
61000577,61,5.75,7.75,4.5
08000578,08,7.5,8.5,4.25
24000579,24,6.75,6.0,7.0
38000580,38,4.25,7.5,3.25
41000581,41,2.75,6.0,4.0
01000582,01,8.0,7.5,7.0
15000583,15,4.75,5.75,7.0
32000584,32,2.5,6.75,4.5
08000585,08,8.0,8.5,5.0
29000586,29,3.25,4.75,7.0
35000587,35,4.5,8.25,4.5
29000588,29,6.75,8.25,8.25
49000589,49,5.75,6.0,7.75
39000590,39,6.25,7.0,5.5
32000591,32,5.25,6.75,3.5
44000592,44,6.75,5.75,9.5
16000593,16,5.0,7.25,4.25
11000594,11,7.0,6.25,5.25
22000595,22,6.0,8.0,10.0
54000596,54,9.25,8.5,3.5
60000597,60,9.5,8.25,6.0
39000598,39,5.5,3.75,8.0
03000599,03,8.25,6.5,4.25
62000600,62,5.5,6.25,2.5
40000601,40,7.0,7.0,5.75
55000602,55,7.0,7.75,4.5
21000603,21,6.75,6.0,6.5
57000604,57,7.25,7.5,6.25
19000605,19,7.75,5.5,6.5
20000606,20,1.75,4.75,7.25
01000607,01,5.0,7.25,3.75
23000608,23,5.75,7.25,5.0
46000609,46,6.0,6.75,4.25
24000610,24,6.5,7.5,5.25
50000611,50,5.25,6.5,4.5
35000612,35,5.5,7.5,6.0
62000613,62,7.0,6.75,8.0
15000614,15,7.0,8.5,7.25
60000615,60,6.5,6.0,8.0
27000616,27,8.5,8.0,8.25
13000617,13,6.75,7.75,5.0
12000618,12,7.0,9.0,4.25
52000619,52,7.25,9.75,5.5
09000620,09,9.25,6.75,6.5
56000621,56,5.25,8.25,3.0
50000622,50,7.5,6.0,7.75
18000623,18,7.0,7.75,4.5
41000624,41,6.25,7.0,5.0
57000625,57,6.75,5.5,6.25
15000626,15,7.75,6.5,3.5
54000627,54,6.5,6.0,10.0
44000628,44,5.5,9.0,5.0
08000629,08,7.0,8.5,5.75
46000630,46,6.0,6.5,4.0
47000631,47,7.75,9.0,3.75
31000632,31,7.75,6.5,5.5
52000633,52,7.75,7.25,4.25
05000634,05,4.0,6.0,6.25
02000635,02,10.0,7.25,6.0
27000636,27,6.75,3.5,7.0
42000637,42,6.75,4.75,5.25
07000638,07,10.0,5.25,6.5
30000639,30,5.75,6.25,3.25
27000640,27,7.75,7.0,9.25
51000641,51,7.75,6.75,6.5
01000642,01,6.5,6.75,2.75
18000643,18,5.25,7.25,4.5
23000644,23,6.5,7.5,5.75
04000645,04,5.75,9.0,6.0
22000646,22,3.5,5.0,7.5
55000647,55,6.25,5.25,1.0
61000648,61,5.25,7.5,3.5
32000649,32,7.5,5.0,1.75
44000650,44,7.25,6.25,6.5
61000651,61,8.25,7.5,7.5
45000652,45,6.25,7.75,6.5
02000653,02,9.25,7.25,5.5
31000654,31,8.0,8.75,1.0
50000655,50,7.0,4.75,5.0
63000656,63,6.25,5.75,5.25
23000657,23,7.0,6.25,4.25
21000658,21,5.75,6.0,3.5
59000659,59,6.25,7.25,8.5
24000660,24,7.5,9.25,4.5
14000661,14,5.5,7.25,7.75
62000662,62,5.75,6.25,4.0
57000663,57,6.75,7.0,4.75
08000664,08,8.25,6.0,9.0
45000665,45,5.75,6.25,8.25
38000666,38,8.25,8.0,8.5
29000667,29,5.75,5.75,4.5
49000668,49,5.5,5.0,4.75
28000669,28,5.0,6.75,6.5
46000670,46,5.25,10.0,8.0
14000671,14,6.75,6.5,6.5
22000672,22,9.25,9.25,6.25
39000673,39,7.5,7.5,5.75
02000674,02,6.75,7.0,5.0
13000675,13,5.0,6.25,4.25
63000676,63,8.5,7.5,2.25
61000677,61,7.0,5.5,5.25
18000678,18,7.75,7.0,6.25
24000679,24,5.25,9.0,8.75
04000680,04,3.5,8.25,5.75
25000681,25,6.75,7.25,5.25
09000682,09,7.25,5.25,7.0
33000683,33,3.75,5.25,5.5
15000684,15,6.0,6.5,1.75
33000685,33,10.0,7.25,5.75
47000686,47,6.25,6.75,2.75
39000687,39,9.25,9.75,6.5
30000688,30,6.75,8.0,7.5
33000689,33,9.25,6.5,5.0
56000690,56,5.5,6.0,5.5
38000691,38,5.75,5.75,4.25
45000692,45,9.75,7.5,4.75
35000693,35,4.5,6.25,7.0
46000694,46,5.25,6.5,8.5
17000695,17,5.0,7.25,4.25
35000696,35,5.25,7.0,5.5
54000697,54,5.75,5.5,5.25
24000698,24,6.0,4.5,3.75
35000699,35,3.5,5.5,8.0
38000700,38,5.0,6.25,5.5
21000701,21,7.75,7.5,3.75
28000702,28,7.0,5.75,7.5
42000703,42,7.0,7.0,3.75
40000704,40,8.5,4.5,6.75
59000705,59,5.0,7.75,4.0
02000706,02,6.25,5.75,5.5
35000707,35,6.5,4.75,5.25
58000708,58,8.5,5.0,5.75
36000709,36,10.0,7.75,0.75
52000710,52,7.5,6.0,5.5
02000711,02,3.25,5.5,8.25
21000712,21,5.25,6.25,3.5
39000713,39,7.5,7.0,3.25
61000714,61,4.5,6.75,6.0
46000715,46,6.25,6.0,8.0
38000716,38,6.25,7.25,2.75
52000717,52,8.25,5.0,4.0
21000718,21,5.25,6.5,6.0
11000719,11,6.25,7.0,7.25
03000720,03,6.0,7.0,3.5
25000721,25,7.0,7.5,3.75
51000722,51,7.0,6.75,4.75
58000723,58,9.25,6.0,8.25
46000724,46,6.75,7.0,6.0
46000725,46,3.5,5.25,6.0
48000726,48,7.25,5.75,6.75
50000727,50,6.75,7.75,4.25
30000728,30,5.75,6.25,5.0
40000729,40,7.25,5.75,5.25
27000730,27,8.25,6.25,2.75
14000731,14,6.0,6.75,6.5
47000732,47,4.5,7.25,4.25
62000733,62,8.75,6.75,6.25
04000734,04,6.75,8.75,10.0
20000735,20,5.75,8.0,6.5
29000736,29,6.75,5.0,1.5
19000737,19,4.0,9.5,4.75
42000738,42,6.75,6.75,2.5
42000739,42,3.75,6.75,2.75
08000740,08,7.0,8.5,4.25
12000741,12,3.0,6.75,8.0
31000742,31,7.75,6.25,4.5
15000743,15,4.5,6.5,5.0
44000744,44,4.0,7.25,7.5
38000745,38,5.5,7.75,6.5
47000746,47,7.75,7.25,9.25
57000747,57,5.5,7.75,6.5
62000748,62,7.5,6.75,5.5
12000749,12,6.0,5.75,4.5
38000750,38,9.25,6.5,7.5
21000751,21,6.5,6.75,4.5
27000752,27,7.0,7.75,5.25
60000753,60,7.5,6.25,2.0
57000754,57,6.5,4.75,8.0
45000755,45,6.75,6.75,6.5
57000756,57,6.5,7.25,8.0
31000757,31,7.25,7.5,6.5
49000758,49,7.0,6.0,2.75
45000759,45,7.25,7.25,9.0
04000760,04,6.0,6.0,5.0
27000761,27,9.0,5.0,6.25
09000762,09,6.25,7.5,6.5
35000763,35,5.5,6.0,3.25
18000764,18,6.75,6.0,6.75
43000765,43,7.0,5.25,4.0
26000766,26,6.75,7.5,6.0
04000767,04,3.75,5.0,7.75
63000768,63,6.25,5.75,5.0
56000769,56,5.5,8.25,1.25
55000770,55,4.25,6.0,6.0
06000771,06,6.75,4.75,9.5
07000772,07,3.75,5.25,3.75
48000773,48,7.75,8.75,6.5
39000774,39,8.5,6.5,6.75
