ma_kh,tuoi,thu_nhap,chi_tieu,nghe_nghiep,thanh_pho,so_don_hang,diem_chi_tieu
KH00123,38.0,26.5,14.6,nhan_vien,Can Tho,4,55.0
KH00124,33.0,18.9,12.5,nhan_vien,TP HCM,3,56.0
KH00125,25.0,10.0,5.6,nhan_vien,TP HCM,2,60.0
KH00126,33.0,17.0,9.7,sinh_vien,Ha Noi,2,64.0
KH00127,34.0,16.1,8.4,ky_su,Da Nang,3,46.0
KH00128,51.0,7.7,3.9,nhan_vien,Ha Noi,2,60.0
KH00129,46.0,11.4,5.4,nhan_vien,TP HCM,1,53.0
KH00130,36.0,12.8,9.1,kinh_doanh,TP HCM,6,82.0
KH00131,20.0,14.6,11.4,bac_si,Can Tho,0,87.0
KH00132,42.0,19.7,12.0,nhan_vien,TP HCM,3,57.0
KH00133,22.0,45.3,36.5,kinh_doanh,Ha Noi,10,69.0
KH00134,35.0,12.9,9.0,ky_su,Ha Noi,8,68.0
KH00135,60.0,4.4,4.8,sinh_vien,Ha Noi,1,92.0
KH00136,33.0,13.3,10.0,ky_su,Hai Phong,1,66.0
KH00137,56.0,12.2,4.2,ky_su,Ha Noi,2,34.0
KH00138,35.0,16.2,12.7,giao_vien,Can Tho,2,73.0
KH00139,47.0,34.8,19.5,bac_si,Ha Noi,4,49.0
KH00140,28.0,36.3,13.3,kinh_doanh,Hai Phong,4,35.0
KH00141,32.0,4.8,3.9,sinh_vien,Ha Noi,0,68.0
KH00142,26.0,16.9,10.9,bac_si,TP HCM,3,77.0
KH00143,47.0,15.2,5.8,kinh_doanh,TP HCM,1,45.0
KH00144,49.0,23.1,20.4,ky_su,TP HCM,3,91.0
KH00145,61.0,60.6,25.6,ky_su,Hai Phong,4,41.0
KH00146,22.0,13.5,12.9,ky_su,TP HCM,1,87.0
KH00147,31.0,4.3,1.0,sinh_vien,TP HCM,0,24.0
KH00148,38.0,14.0,9.6,nhan_vien,TP HCM,0,80.0
KH00149,24.0,8.0,2.9,giao_vien,TP HCM,0,30.0
KH00150,43.0,19.9,13.5,bac_si,Da Nang,1,58.0
KH00151,29.0,25.7,14.3,ky_su,Ha Noi,4,61.0
KH00152,28.0,22.8,18.3,giao_vien,TP HCM,7,78.0
KH00153,38.0,31.7,21.5,giao_vien,TP HCM,0,63.0
KH00154,31.0,18.4,7.6,nhan_vien,Ha Noi,4,40.0
KH00155,35.0,22.6,11.0,kinh_doanh,Ha Noi,1,44.0
KH00156,25.0,12.7,7.7,nhan_vien,Ha Noi,4,65.0
KH00157,30.0,13.3,6.7,giao_vien,Ha Noi,1,53.0
KH00158,32.0,11.8,4.2,nhan_vien,Ha Noi,1,30.0
KH00159,38.0,9.4,1.0,ky_su,Ha Noi,0,10.0
KH00160,48.0,29.4,16.2,bac_si,Hai Phong,2,54.0
KH00161,37.0,19.2,6.5,nhan_vien,Ha Noi,0,40.0
KH00162,54.0,15.7,11.2,giao_vien,TP HCM,3,71.0
KH00163,46.0,32.5,16.0,bac_si,TP HCM,5,50.0
KH00164,43.0,21.7,13.1,kinh_doanh,Ha Noi,5,64.0
KH00165,39.0,30.7,13.6,kinh_doanh,Hai Phong,3,46.0
KH00166,24.0,35.8,30.3,kinh_doanh,TP HCM,11,86.0
KH00167,46.0,22.6,12.8,kinh_doanh,Hai Phong,2,60.0
KH00168,23.0,23.9,13.8,ky_su,TP HCM,3,64.0
KH00169,39.0,8.9,5.6,nhan_vien,Ha Noi,1,70.0
KH00170,23.0,11.8,4.9,ky_su,TP HCM,0,46.0
KH00171,25.0,21.3,16.0,nhan_vien,Da Nang,0,68.0
KH00172,46.0,28.0,20.1,giao_vien,Ha Noi,2,83.0
KH00173,32.0,14.2,6.3,nhan_vien,Ha Noi,3,48.0
KH00174,39.0,20.0,9.8,giao_vien,TP HCM,3,48.0
KH00175,29.0,2.6,0.5,sinh_vien,TP HCM,0,23.0
KH00176,31.0,32.0,22.6,bac_si,TP HCM,6,84.0
KH00177,34.0,18.5,8.8,bac_si,Can Tho,4,47.0
KH00178,46.0,5.5,0.6,sinh_vien,Ha Noi,0,10.0
KH00179,24.0,14.3,11.4,nhan_vien,Ha Noi,1,67.0
KH00180,52.0,71.5,55.3,kinh_doanh,Da Nang,11,84.0
KH00181,41.0,19.0,13.7,giao_vien,TP HCM,1,79.0
KH00182,58.0,15.8,7.9,kinh_doanh,TP HCM,1,51.0
KH00183,30.0,35.0,27.7,bac_si,Ha Noi,11,82.0
KH00184,32.0,31.9,10.8,bac_si,TP HCM,4,34.0
KH00185,41.0,22.1,13.8,ky_su,TP HCM,6,71.0
KH00186,45.0,152.2,108.9,kinh_doanh,TP HCM,32,66.0
KH00187,34.0,6.6,2.8,sinh_vien,TP HCM,1,44.0
KH00188,42.0,11.9,10.4,giao_vien,Can Tho,3,87.0
KH00189,31.0,33.7,28.0,kinh_doanh,Hai Phong,8,91.0
KH00190,56.0,15.5,9.4,giao_vien,TP HCM,3,68.0
KH00191,39.0,24.7,18.4,kinh_doanh,TP HCM,7,88.0
KH00192,54.0,11.5,7.9,kinh_doanh,TP HCM,4,82.0
KH00193,48.0,1.7,2.7,sinh_vien,TP HCM,0,100.0
KH00194,32.0,19.0,10.8,ky_su,Can Tho,4,55.0
KH00195,35.0,33.9,15.0,giao_vien,Ha Noi,5,45.0
KH00196,47.0,6.4,3.7,nhan_vien,TP HCM,0,63.0
KH00197,48.0,14.2,7.5,kinh_doanh,TP HCM,1,56.0
KH00198,35.0,18.1,11.7,nhan_vien,Can Tho,4,77.0
KH00199,54.0,5.4,1.0,sinh_vien,Da Nang,0,22.0
KH00200,23.0,12.6,7.8,kinh_doanh,TP HCM,3,69.0
KH00201,18.0,1.9,0.5,sinh_vien,TP HCM,0,29.0
KH00202,37.0,32.6,26.1,ky_su,TP HCM,5,77.0
KH00203,31.0,23.1,14.0,nhan_vien,Can Tho,6,67.0
KH00204,27.0,37.5,14.8,ky_su,Da Nang,4,44.0
KH00205,40.0,11.4,7.2,nhan_vien,Da Nang,0,55.0
KH00206,55.0,7.9,2.1,sinh_vien,Hai Phong,0,31.0
KH00207,48.0,25.5,14.9,kinh_doanh,Ha Noi,6,51.0
KH00208,30.0,11.3,4.9,nhan_vien,Can Tho,0,39.0
KH00209,27.0,35.7,19.8,giao_vien,TP HCM,4,60.0
KH00210,44.0,21.0,9.8,nhan_vien,TP HCM,1,47.0
KH00211,30.0,9.1,8.2,ky_su,Ha Noi,2,100.0
KH00212,43.0,49.9,43.3,bac_si,Da Nang,11,72.0
KH00213,49.0,11.6,8.9,ky_su,Can Tho,4,62.0
KH00214,31.0,15.5,7.6,nhan_vien,TP HCM,1,41.0
KH00215,56.0,23.7,21.2,giao_vien,TP HCM,4,74.0
KH00216,48.0,9.4,7.5,nhan_vien,Ha Noi,1,81.0
KH00217,39.0,23.7,7.5,bac_si,TP HCM,3,28.0
KH00218,41.0,39.0,23.0,ky_su,Da Nang,8,62.0
KH00219,39.0,20.0,15.4,ky_su,TP HCM,7,70.0
KH00220,45.0,12.0,9.2,ky_su,TP HCM,2,80.0
KH00221,31.0,8.8,5.2,giao_vien,Ha Noi,1,66.0
KH00222,38.0,36.0,17.5,ky_su,TP HCM,5,39.0
KH00223,39.0,9.5,2.4,nhan_vien,TP HCM,1,26.0
KH00224,35.0,8.3,4.8,ky_su,Da Nang,1,61.0
KH00225,40.0,5.7,2.7,giao_vien,TP HCM,1,55.0
KH00226,33.0,16.5,7.4,nhan_vien,Can Tho,1,40.0
KH00227,42.0,7.8,1.4,ky_su,TP HCM,0,17.0
KH00228,50.0,22.2,7.9,bac_si,Hai Phong,2,34.0
KH00229,49.0,8.3,5.6,nhan_vien,Ha Noi,0,72.0
KH00230,39.0,10.8,2.6,giao_vien,TP HCM,0,19.0
KH00231,43.0,12.8,7.5,ky_su,TP HCM,4,57.0
KH00232,30.0,9.6,5.0,sinh_vien,Ha Noi,2,54.0
KH00233,36.0,44.4,18.1,kinh_doanh,TP HCM,4,39.0
KH00234,29.0,3.5,3.0,sinh_vien,Can Tho,0,75.0
KH00235,51.0,7.4,4.9,nhan_vien,Ha Noi,1,64.0
KH00236,24.0,30.1,17.8,kinh_doanh,Can Tho,11,50.0
KH00237,29.0,46.4,20.1,kinh_doanh,Ha Noi,2,44.0
KH00238,48.0,37.9,21.4,nhan_vien,Da Nang,4,66.0
KH00239,38.0,40.3,20.2,kinh_doanh,TP HCM,7,50.0
KH00240,33.0,24.8,12.1,bac_si,Can Tho,1,45.0
KH00241,35.0,20.7,11.7,kinh_doanh,TP HCM,5,48.0
KH00242,29.0,10.6,9.1,nhan_vien,Hai Phong,3,100.0
KH00243,45.0,16.7,7.8,giao_vien,TP HCM,2,53.0
KH00244,53.0,12.4,11.2,giao_vien,Ha Noi,1,100.0
KH00245,40.0,10.0,5.7,giao_vien,Ha Noi,1,63.0
KH00246,27.0,47.2,41.5,kinh_doanh,Hai Phong,10,81.0
KH00247,20.0,7.1,4.0,sinh_vien,TP HCM,3,56.0
KH00248,30.0,18.5,16.1,nhan_vien,TP HCM,3,71.0
KH00249,51.0,22.2,14.7,giao_vien,Da Nang,4,71.0
KH00250,19.0,37.5,13.2,kinh_doanh,TP HCM,3,42.0
KH00251,34.0,15.0,4.3,nhan_vien,Hai Phong,0,34.0
KH00252,36.0,18.2,6.5,nhan_vien,Da Nang,3,30.0
KH00253,37.0,8.1,7.3,nhan_vien,TP HCM,2,74.0
KH00254,40.0,9.6,6.8,nhan_vien,Hai Phong,3,61.0
KH00255,34.0,31.2,17.1,bac_si,Ha Noi,6,61.0
KH00256,31.0,7.5,4.4,sinh_vien,TP HCM,1,66.0
KH00257,36.0,57.7,42.4,ky_su,Ha Noi,6,64.0
KH00258,41.0,12.3,6.9,nhan_vien,TP HCM,2,66.0
KH00259,30.0,29.8,12.1,nhan_vien,Ha Noi,1,40.0
KH00260,37.0,17.5,12.8,giao_vien,Ha Noi,2,86.0
KH00261,22.0,8.3,6.9,kinh_doanh,TP HCM,1,92.0
KH00262,42.0,20.6,15.6,kinh_doanh,Da Nang,3,64.0
KH00263,27.0,20.0,15.6,nhan_vien,Ha Noi,4,87.0
KH00264,34.0,4.2,3.9,nhan_vien,Ha Noi,0,79.0
KH00265,43.0,13.1,7.6,nhan_vien,Can Tho,3,55.0
KH00266,44.0,15.0,7.2,nhan_vien,Ha Noi,1,45.0
KH00267,20.0,20.8,20.8,giao_vien,Ha Noi,4,100.0
KH00268,38.0,34.8,15.2,kinh_doanh,Hai Phong,6,41.0
KH00269,44.0,11.1,7.5,kinh_doanh,TP HCM,1,76.0
KH00270,28.0,5.5,2.3,nhan_vien,TP HCM,0,46.0
KH00271,53.0,4.1,2.5,sinh_vien,Ha Noi,1,70.0
KH00272,41.0,10.3,7.8,nhan_vien,Can Tho,1,75.0
KH00273,28.0,34.2,16.7,ky_su,Ha Noi,7,41.0
KH00274,32.0,12.6,7.9,giao_vien,TP HCM,0,72.0
KH00275,36.0,6.0,0.5,sinh_vien,Da Nang,1,10.0
KH00276,38.0,13.9,10.4,giao_vien,Ha Noi,2,70.0
KH00277,33.0,11.3,7.8,nhan_vien,TP HCM,3,79.0
KH00278,18.0,27.2,19.7,ky_su,Ha Noi,5,63.0
KH00279,34.0,55.3,39.8,kinh_doanh,TP HCM,14,86.0
KH00280,55.0,8.8,2.2,giao_vien,Ha Noi,1,29.0
KH00281,26.0,31.8,16.3,kinh_doanh,Ha Noi,4,48.0
KH00282,28.0,17.2,12.5,nhan_vien,Da Nang,4,81.0
KH00283,32.0,13.8,11.7,kinh_doanh,TP HCM,1,85.0
KH00284,48.0,23.3,15.4,giao_vien,TP HCM,6,72.0
KH00285,34.0,29.3,19.3,kinh_doanh,TP HCM,4,72.0
KH00286,39.0,34.1,21.7,giao_vien,Ha Noi,7,52.0
KH00287,39.0,19.8,7.7,nhan_vien,Da Nang,1,36.0
KH00288,50.0,13.2,10.9,nhan_vien,TP HCM,2,72.0
KH00289,34.0,99.5,49.6,ky_su,Can Tho,15,42.0
KH00290,37.0,7.8,5.0,giao_vien,Can Tho,1,61.0
KH00291,32.0,21.7,16.2,kinh_doanh,Ha Noi,5,76.0
KH00292,18.0,34.1,23.5,ky_su,TP HCM,7,68.0
KH00293,31.0,30.5,20.4,ky_su,TP HCM,3,67.0
KH00294,37.0,8.6,2.9,nhan_vien,Hai Phong,3,33.0
KH00295,31.0,23.0,15.6,ky_su,TP HCM,4,78.0
KH00296,40.0,13.0,11.2,nhan_vien,TP HCM,1,81.0
KH00297,18.0,32.6,27.0,ky_su,TP HCM,5,71.0
KH00298,41.0,20.1,10.5,nhan_vien,TP HCM,2,62.0
KH00299,40.0,22.9,7.7,giao_vien,Can Tho,2,28.0
KH00300,34.0,8.0,7.8,sinh_vien,Ha Noi,0,92.0
KH00301,33.0,21.6,13.4,nhan_vien,TP HCM,1,74.0
KH00302,30.0,31.5,18.1,bac_si,TP HCM,0,61.0
KH00303,24.0,13.7,4.2,ky_su,Ha Noi,1,32.0
KH00304,45.0,25.0,19.8,ky_su,Ha Noi,8,85.0
KH00305,46.0,22.8,15.8,ky_su,TP HCM,7,58.0
KH00306,41.0,36.2,13.7,ky_su,Hai Phong,0,37.0
KH00307,27.0,13.1,6.4,giao_vien,Ha Noi,1,53.0
KH00308,52.0,24.2,14.9,kinh_doanh,TP HCM,5,70.0
KH00309,61.0,15.2,9.4,ky_su,Ha Noi,1,56.0
KH00310,42.0,12.5,5.7,ky_su,TP HCM,1,49.0
KH00311,35.0,29.0,17.4,nhan_vien,TP HCM,6,48.0
KH00312,40.0,32.1,20.6,kinh_doanh,TP HCM,5,72.0
KH00313,41.0,4.8,0.7,sinh_vien,Ha Noi,0,15.0
KH00314,23.0,20.2,15.0,giao_vien,Hai Phong,4,64.0
KH00315,47.0,22.4,20.0,nhan_vien,Ha Noi,2,94.0
KH00316,18.0,11.9,9.8,nhan_vien,TP HCM,5,73.0
KH00317,45.0,11.4,4.3,kinh_doanh,TP HCM,1,44.0
KH00318,32.0,20.7,15.2,kinh_doanh,Ha Noi,4,85.0
KH00319,38.0,17.5,8.3,kinh_doanh,Ha Noi,1,46.0
KH00320,53.0,49.7,28.7,nhan_vien,TP HCM,8,68.0
KH00321,70.0,33.9,15.6,bac_si,TP HCM,5,52.0
KH00322,39.0,5.8,5.2,sinh_vien,Hai Phong,0,100.0
KH00323,28.0,36.7,27.4,nhan_vien,Hai Phong,7,87.0
KH00324,30.0,30.2,18.4,ky_su,Ha Noi,6,56.0
KH00325,36.0,12.8,8.5,nhan_vien,TP HCM,1,64.0
KH00326,34.0,19.7,10.1,ky_su,Ha Noi,5,59.0
KH00327,38.0,18.0,14.3,giao_vien,TP HCM,5,66.0
KH00328,33.0,10.9,4.1,nhan_vien,Da Nang,3,43.0
KH00329,36.0,8.4,4.0,giao_vien,TP HCM,1,38.0
KH00330,43.0,11.1,4.4,nhan_vien,Hai Phong,0,41.0
KH00331,30.0,41.6,16.3,kinh_doanh,TP HCM,4,33.0
KH00332,23.0,12.7,7.8,nhan_vien,TP HCM,0,51.0
KH00333,33.0,18.1,10.7,kinh_doanh,Hai Phong,4,53.0
KH00334,18.0,27.9,21.4,ky_su,Ha Noi,4,69.0
KH00335,18.0,13.6,9.1,nhan_vien,TP HCM,1,55.0
KH00336,33.0,54.1,29.7,kinh_doanh,TP HCM,9,65.0
KH00337,18.0,11.7,9.2,giao_vien,Can Tho,4,67.0
KH00338,55.0,50.4,24.3,bac_si,TP HCM,10,54.0
KH00339,26.0,18.0,12.9,ky_su,Da Nang,3,85.0
KH00340,43.0,7.9,3.5,nhan_vien,Hai Phong,0,52.0
KH00341,31.0,11.3,7.0,nhan_vien,TP HCM,1,63.0
KH00342,31.0,14.5,10.7,nhan_vien,TP HCM,2,87.0
KH00343,26.0,41.7,29.0,kinh_doanh,TP HCM,6,68.0
KH00344,45.0,25.3,12.7,kinh_doanh,Ha Noi,2,42.0
KH00345,57.0,26.5,17.0,kinh_doanh,Da Nang,3,73.0
KH00346,28.0,29.2,16.2,nhan_vien,Ha Noi,2,60.0
KH00347,18.0,31.0,18.2,kinh_doanh,TP HCM,7,67.0
KH00348,37.0,14.5,10.3,nhan_vien,Ha Noi,2,72.0
KH00349,43.0,32.7,23.5,nhan_vien,Ha Noi,3,84.0
KH00350,49.0,17.3,17.0,kinh_doanh,Can Tho,1,100.0
KH00351,35.0,28.4,19.4,ky_su,Hai Phong,3,60.0
KH00352,42.0,19.3,14.5,kinh_doanh,TP HCM,3,68.0
KH00353,18.0,5.0,2.8,nhan_vien,TP HCM,0,52.0
KH00354,53.0,15.1,11.2,nhan_vien,TP HCM,3,88.0
KH00355,36.0,15.9,7.0,nhan_vien,TP HCM,3,46.0
KH00356,62.0,1.9,0.5,sinh_vien,Ha Noi,0,21.0
KH00357,58.0,11.9,8.5,nhan_vien,Ha Noi,3,77.0
KH00358,42.0,8.6,7.2,nhan_vien,Ha Noi,3,95.0
KH00359,54.0,16.8,6.8,nhan_vien,TP HCM,4,42.0
KH00360,31.0,20.1,12.5,nhan_vien,Da Nang,1,74.0
KH00361,35.0,12.5,8.8,nhan_vien,TP HCM,1,81.0
KH00362,35.0,15.5,7.8,giao_vien,TP HCM,1,54.0
KH00363,47.0,23.1,16.1,ky_su,TP HCM,1,70.0
KH00364,19.0,4.0,0.6,sinh_vien,Ha Noi,1,12.0
KH00365,41.0,22.4,16.7,nhan_vien,TP HCM,5,62.0
KH00366,65.0,26.5,11.4,giao_vien,TP HCM,3,36.0
KH00367,59.0,39.0,31.3,ky_su,TP HCM,6,77.0
KH00368,32.0,13.3,8.6,ky_su,Ha Noi,1,64.0
KH00369,44.0,17.8,11.4,ky_su,Ha Noi,1,60.0
KH00370,20.0,13.2,7.3,giao_vien,Ha Noi,4,50.0
KH00371,33.0,26.1,22.9,giao_vien,Ha Noi,7,100.0
KH00372,35.0,3.3,1.0,sinh_vien,Hai Phong,0,33.0
KH00373,40.0,5.2,2.8,sinh_vien,TP HCM,0,50.0
KH00374,34.0,21.9,13.0,nhan_vien,Ha Noi,2,67.0
KH00375,36.0,31.2,29.4,bac_si,Hai Phong,7,95.0
KH00376,40.0,5.8,2.6,sinh_vien,TP HCM,2,41.0
KH00377,54.0,24.3,16.4,ky_su,TP HCM,9,81.0
KH00378,21.0,5.6,3.3,sinh_vien,Ha Noi,3,63.0
KH00379,36.0,10.2,4.2,giao_vien,Ha Noi,2,38.0
KH00380,47.0,11.5,3.7,giao_vien,TP HCM,1,38.0
KH00381,39.0,10.1,5.0,ky_su,Ha Noi,2,45.0
KH00382,29.0,18.7,13.2,giao_vien,TP HCM,5,79.0
KH00383,56.0,19.1,14.5,kinh_doanh,Can Tho,6,90.0
KH00384,20.0,25.1,20.8,giao_vien,Ha Noi,2,89.0
KH00385,44.0,3.4,4.2,sinh_vien,TP HCM,3,100.0
KH00386,37.0,3.2,4.0,sinh_vien,Ha Noi,1,100.0
