ma_kh,tuoi,goi_cuoc,khu_vuc,so_thang_su_dung,cuoc_hang_thang,tong_cuoc,so_lan_goi_ho_tro,label
KH00191,20.0,co_ban,Bac,20.0,120.0,2400.0,1.0,0.0
KH00192,37.0,tieu_chuan,Bac,25.0,280.0,7000.0,0.0,0.0
KH00193,28.0,co_ban,Bac,19.0,100.0,1900.0,0.0,1.0
KH00194,37.0,co_ban,Bac,36.0,130.0,4680.0,1.0,0.0
KH00195,48.0,cao_cap,Bac,26.0,670.0,17420.0,8.0,1.0
KH00196,45.0,co_ban,Bac,11.0,130.0,1430.0,0.0,0.0
KH00197,35.0,tieu_chuan,Nam,8.0,220.0,1760.0,7.0,1.0
KH00198,43.0,co_ban,Nam,13.0,110.0,1430.0,1.0,0.0
KH00199,39.0,co_ban,Bac,117.0,140.0,16380.0,2.0,0.0
KH00200,47.0,co_ban,Trung,50.0,100.0,5000.0,4.0,0.0
KH00201,25.0,co_ban,Nam,16.0,150.0,2400.0,1.0,1.0
KH00202,28.0,cao_cap,Bac,12.0,600.0,7200.0,2.0,0.0
KH00203,55.0,tieu_chuan,Nam,35.0,310.0,10850.0,2.0,1.0
KH00204,35.0,co_ban,Bac,4.0,110.0,440.0,1.0,1.0
KH00205,46.0,co_ban,Trung,40.0,150.0,6000.0,1.0,0.0
KH00206,18.0,co_ban,Bac,2.0,150.0,300.0,1.0,0.0
KH00207,53.0,tieu_chuan,Bac,12.0,320.0,3840.0,1.0,1.0
KH00208,30.0,co_ban,Nam,1.0,130.0,130.0,1.0,0.0
KH00209,22.0,co_ban,Nam,32.0,140.0,4480.0,2.0,0.0
KH00210,44.0,co_ban,Bac,10.0,100.0,1000.0,7.0,1.0
KH00211,39.0,cao_cap,Bac,2.0,540.0,1080.0,2.0,1.0
KH00212,47.0,tieu_chuan,Nam,35.0,290.0,10150.0,0.0,0.0
KH00213,35.0,cao_cap,Trung,24.0,420.0,10080.0,2.0,0.0
KH00214,24.0,tieu_chuan,Nam,5.0,300.0,1500.0,1.0,0.0
KH00215,,cao_cap,Bac,80.0,480.0,38400.0,0.0,0.0
KH00216,27.0,co_ban,Nam,2.0,120.0,240.0,3.0,0.0
KH00217,44.0,tieu_chuan,Bac,6.0,240.0,1440.0,1.0,1.0
KH00218,28.0,tieu_chuan,Nam,15.0,230.0,3450.0,0.0,0.0
KH00219,45.0,tieu_chuan,Bac,10.0,270.0,2700.0,2.0,1.0
KH00220,,co_ban,Nam,5.0,140.0,700.0,1.0,0.0
KH00221,34.0,tieu_chuan,Bac,16.0,230.0,3680.0,2.0,0.0
KH00222,53.0,co_ban,Bac,29.0,100.0,2900.0,0.0,0.0
KH00223,32.0,tieu_chuan,Bac,84.0,230.0,19320.0,2.0,0.0
KH00224,36.0,co_ban,Nam,69.0,110.0,7590.0,0.0,0.0
KH00225,44.0,cao_cap,Bac,12.0,470.0,5640.0,3.0,1.0
KH00226,68.0,tieu_chuan,Nam,9.0,320.0,2880.0,7.0,1.0
KH00227,,tieu_chuan,Nam,53.0,230.0,12190.0,9.0,1.0
KH00228,42.0,co_ban,Bac,5.0,100.0,500.0,2.0,0.0
KH00229,40.0,tieu_chuan,Trung,21.0,300.0,6300.0,0.0,0.0
KH00230,,co_ban,Bac,60.0,140.0,8400.0,3.0,0.0
KH00231,40.0,co_ban,Bac,85.0,100.0,8500.0,5.0,0.0
KH00232,39.0,co_ban,Bac,15.0,120.0,1800.0,1.0,0.0
KH00233,28.0,tieu_chuan,Nam,10.0,260.0,2600.0,1.0,0.0
KH00234,18.0,co_ban,Trung,34.0,100.0,3400.0,0.0,0.0
KH00235,77.0,co_ban,Bac,43.0,110.0,4730.0,0.0,0.0
KH00236,44.0,co_ban,Nam,35.0,110.0,3850.0,0.0,0.0
KH00237,46.0,co_ban,Bac,1.0,130.0,130.0,1.0,1.0
KH00238,36.0,tieu_chuan,Nam,1.0,310.0,310.0,0.0,0.0
KH00239,43.0,tieu_chuan,Nam,1.0,220.0,220.0,0.0,0.0
KH00240,37.0,tieu_chuan,Bac,65.0,240.0,15600.0,1.0,0.0
KH00241,36.0,tieu_chuan,Bac,1.0,240.0,240.0,3.0,1.0
KH00242,31.0,co_ban,Bac,25.0,140.0,3500.0,0.0,0.0
KH00243,41.0,co_ban,Nam,36.0,110.0,3960.0,1.0,0.0
KH00244,46.0,tieu_chuan,Nam,2.0,250.0,500.0,1.0,0.0
KH00245,28.0,tieu_chuan,Bac,5.0,260.0,1300.0,2.0,1.0
KH00246,51.0,co_ban,Nam,3.0,130.0,390.0,0.0,1.0
KH00247,30.0,co_ban,Trung,85.0,110.0,9350.0,7.0,0.0
KH00248,58.0,co_ban,Bac,16.0,100.0,1600.0,2.0,0.0
KH00249,49.0,co_ban,Nam,7.0,150.0,1050.0,1.0,1.0
KH00250,38.0,co_ban,Trung,38.0,150.0,5700.0,3.0,0.0
KH00251,35.0,co_ban,Nam,67.0,110.0,7370.0,1.0,0.0
KH00252,45.0,co_ban,Nam,10.0,120.0,1200.0,0.0,0.0
KH00253,44.0,tieu_chuan,Nam,8.0,270.0,2160.0,7.0,1.0
KH00254,26.0,tieu_chuan,Nam,9.0,320.0,2880.0,0.0,1.0
KH00255,53.0,tieu_chuan,Nam,20.0,280.0,5600.0,0.0,0.0
KH00256,41.0,cao_cap,Nam,9.0,420.0,3780.0,2.0,1.0
KH00257,52.0,co_ban,Trung,37.0,140.0,5180.0,0.0,0.0
KH00258,41.0,co_ban,Nam,24.0,120.0,2880.0,4.0,0.0
KH00259,32.0,co_ban,Bac,29.0,140.0,4060.0,2.0,0.0
KH00260,36.0,tieu_chuan,Nam,41.0,250.0,10250.0,2.0,0.0
KH00261,43.0,co_ban,Nam,7.0,150.0,1050.0,1.0,1.0
KH00262,,co_ban,Trung,51.0,100.0,5100.0,6.0,0.0
KH00263,38.0,co_ban,Trung,8.0,150.0,1200.0,8.0,1.0
KH00264,42.0,tieu_chuan,Nam,13.0,260.0,3380.0,5.0,1.0
KH00265,25.0,tieu_chuan,Bac,2.0,290.0,580.0,1.0,0.0
KH00266,49.0,cao_cap,Nam,14.0,460.0,6440.0,0.0,0.0
KH00267,50.0,co_ban,Nam,18.0,110.0,1980.0,2.0,0.0
KH00268,52.0,tieu_chuan,Nam,12.0,270.0,3240.0,0.0,0.0
KH00269,18.0,co_ban,Nam,27.0,160.0,4320.0,1.0,0.0
KH00270,43.0,cao_cap,Nam,44.0,450.0,19800.0,1.0,0.0
KH00271,38.0,co_ban,Bac,32.0,100.0,3200.0,0.0,0.0
KH00272,47.0,tieu_chuan,Bac,84.0,240.0,20160.0,1.0,0.0
KH00273,18.0,co_ban,Nam,41.0,120.0,4920.0,4.0,0.0
KH00274,42.0,co_ban,Bac,20.0,120.0,2400.0,0.0,0.0
KH00275,46.0,cao_cap,Trung,3.0,490.0,1470.0,0.0,0.0
KH00276,43.0,co_ban,Trung,1.0,100.0,100.0,1.0,1.0
KH00277,41.0,co_ban,Bac,27.0,100.0,2700.0,2.0,0.0
KH00278,30.0,cao_cap,Nam,8.0,640.0,5120.0,1.0,0.0
KH00279,47.0,tieu_chuan,Bac,8.0,260.0,2080.0,1.0,1.0
KH00280,60.0,cao_cap,Nam,67.0,660.0,44220.0,2.0,0.0
KH00281,45.0,cao_cap,Nam,15.0,,10050.0,1.0,0.0
KH00282,29.0,co_ban,Trung,3.0,100.0,300.0,1.0,0.0
KH00283,44.0,tieu_chuan,Nam,16.0,300.0,4800.0,1.0,0.0
KH00284,67.0,tieu_chuan,Nam,29.0,310.0,8990.0,10.0,1.0
KH00285,19.0,tieu_chuan,Nam,15.0,,3600.0,2.0,0.0
KH00286,73.0,tieu_chuan,Bac,6.0,280.0,1680.0,1.0,0.0
KH00287,51.0,co_ban,Bac,50.0,100.0,5000.0,2.0,1.0
KH00288,33.0,tieu_chuan,Nam,1.0,220.0,220.0,0.0,0.0
KH00289,43.0,co_ban,Trung,1.0,130.0,130.0,3.0,1.0
KH00290,41.0,cao_cap,Nam,3.0,590.0,1770.0,0.0,1.0
KH00291,27.0,co_ban,Trung,30.0,120.0,3600.0,1.0,0.0
KH00292,43.0,tieu_chuan,Nam,35.0,300.0,10500.0,3.0,1.0
KH00293,41.0,co_ban,Bac,3.0,120.0,360.0,2.0,0.0
KH00294,42.0,tieu_chuan,Nam,52.0,260.0,13520.0,2.0,1.0
KH00295,54.0,cao_cap,Nam,35.0,580.0,20300.0,9.0,0.0
KH00296,39.0,co_ban,Bac,27.0,110.0,2970.0,2.0,0.0
KH00297,31.0,tieu_chuan,Bac,1.0,240.0,240.0,6.0,1.0
KH00298,40.0,co_ban,Bac,77.0,100.0,7700.0,3.0,0.0
KH00299,71.0,co_ban,Nam,22.0,140.0,3080.0,1.0,0.0
KH00300,27.0,tieu_chuan,Bac,15.0,300.0,4500.0,5.0,1.0
KH00301,26.0,tieu_chuan,Bac,15.0,310.0,4650.0,5.0,1.0
KH00302,37.0,cao_cap,Bac,31.0,500.0,15500.0,0.0,0.0
KH00303,38.0,co_ban,Trung,33.0,100.0,3300.0,6.0,1.0
KH00304,18.0,tieu_chuan,Bac,3.0,200.0,600.0,5.0,1.0
KH00305,18.0,cao_cap,Trung,2.0,670.0,1340.0,0.0,0.0
KH00306,47.0,co_ban,Nam,26.0,150.0,3900.0,0.0,1.0
KH00307,18.0,cao_cap,Bac,42.0,480.0,20160.0,2.0,1.0
KH00308,36.0,tieu_chuan,Bac,1.0,280.0,280.0,2.0,0.0
KH00309,58.0,tieu_chuan,Nam,34.0,240.0,8160.0,0.0,1.0
KH00310,38.0,co_ban,Nam,52.0,100.0,5200.0,0.0,0.0
KH00311,45.0,co_ban,Nam,8.0,130.0,1040.0,4.0,0.0
KH00312,27.0,tieu_chuan,Trung,47.0,220.0,10340.0,1.0,1.0
KH00313,25.0,tieu_chuan,Bac,79.0,230.0,18170.0,0.0,0.0
KH00314,37.0,co_ban,Nam,26.0,110.0,2860.0,4.0,1.0
KH00315,24.0,co_ban,Trung,2.0,120.0,240.0,11.0,1.0
KH00316,18.0,co_ban,Bac,2.0,140.0,280.0,8.0,1.0
KH00317,49.0,tieu_chuan,Bac,19.0,220.0,4180.0,8.0,1.0
KH00318,33.0,cao_cap,Bac,17.0,520.0,8840.0,0.0,1.0
KH00319,47.0,co_ban,Trung,2.0,140.0,280.0,0.0,0.0
KH00320,33.0,tieu_chuan,Nam,14.0,220.0,3080.0,4.0,1.0
KH00321,42.0,co_ban,Nam,6.0,110.0,660.0,5.0,1.0
KH00322,48.0,co_ban,Nam,2.0,140.0,280.0,8.0,1.0
KH00323,57.0,tieu_chuan,Nam,18.0,280.0,5040.0,2.0,0.0
KH00324,28.0,co_ban,Nam,37.0,,4810.0,0.0,0.0
KH00325,31.0,cao_cap,Bac,1.0,670.0,670.0,2.0,0.0
KH00326,42.0,co_ban,Nam,8.0,150.0,1200.0,10.0,1.0
KH00327,,tieu_chuan,Trung,13.0,260.0,3380.0,1.0,0.0
KH00328,36.0,co_ban,Nam,38.0,150.0,5700.0,7.0,0.0
KH00329,30.0,tieu_chuan,Nam,8.0,310.0,2480.0,0.0,1.0
KH00330,54.0,co_ban,Bac,21.0,120.0,2520.0,6.0,1.0
KH00331,19.0,tieu_chuan,Trung,11.0,270.0,2970.0,7.0,1.0
KH00332,71.0,tieu_chuan,Trung,95.0,300.0,28500.0,0.0,0.0
KH00333,32.0,tieu_chuan,Nam,117.0,210.0,24570.0,1.0,0.0
KH00334,31.0,tieu_chuan,Nam,30.0,280.0,8400.0,0.0,1.0
KH00335,30.0,co_ban,Nam,25.0,140.0,3500.0,6.0,1.0
KH00336,47.0,co_ban,Trung,25.0,140.0,3500.0,0.0,0.0
KH00337,47.0,co_ban,Trung,8.0,100.0,800.0,1.0,0.0
KH00338,50.0,tieu_chuan,Nam,8.0,320.0,2560.0,6.0,0.0
KH00339,41.0,tieu_chuan,Bac,2.0,300.0,600.0,1.0,1.0
KH00340,48.0,co_ban,Nam,1.0,100.0,100.0,2.0,0.0
KH00341,40.0,co_ban,Bac,32.0,110.0,3520.0,2.0,1.0
KH00342,30.0,cao_cap,Nam,12.0,480.0,5760.0,1.0,1.0
KH00343,36.0,co_ban,Nam,55.0,120.0,6600.0,6.0,0.0
KH00344,48.0,tieu_chuan,Bac,4.0,260.0,1040.0,0.0,0.0
KH00345,19.0,co_ban,Nam,55.0,100.0,5500.0,1.0,0.0
KH00346,47.0,co_ban,Trung,8.0,140.0,1120.0,5.0,0.0
KH00347,44.0,tieu_chuan,Trung,4.0,270.0,1080.0,2.0,1.0
