ma_kh,ngay_dat,gia_tri
KH02173,2025-07-03,114000.0
KH02190,2025-07-03,76000.0
KH00873,2025-07-04,810000.0
KH02019,2025-07-04,116000.0
KH00078,2025-07-04,432000.0
KH01933,2025-07-04,45000.0
KH00533,2025-07-04,197000.0
KH00478,2025-07-04,386000.0
KH00337,2025-07-04,430000.0
KH01612,2025-07-04,63000.0
KH02299,2025-07-04,369000.0
KH00977,2025-07-04,426000.0
KH01749,2025-07-04,98000.0
KH00970,2025-07-04,372000.0
KH00930,2025-07-04,118000.0
KH00238,2025-07-04,157000.0
KH01371,2025-07-04,88000.0
KH02473,2025-07-04,546000.0
KH01106,2025-07-04,112000.0
KH00365,2025-07-04,115000.0
KH01621,2025-07-04,781000.0
KH01558,2025-07-04,107000.0
KH00653,2025-07-04,230000.0
KH02224,2025-07-04,396000.0
KH01563,2025-07-04,101000.0
KH00095,2025-07-04,167000.0
KH00276,2025-07-04,286000.0
KH00603,2025-07-04,92000.0
KH01482,2025-07-04,1557000.0
KH02128,2025-07-04,156000.0
KH00642,2025-07-04,264000.0
KH00535,2025-07-04,134000.0
KH01916,2025-07-04,174000.0
KH00529,2025-07-04,98000.0
KH00191,2025-07-04,163000.0
KH00733,2025-07-04,730000.0
KH01335,2025-07-04,348000.0
KH01293,2025-07-04,215000.0
KH01626,2025-07-04,149000.0
KH00450,2025-07-04,165000.0
KH00222,2025-07-04,63000.0
KH01125,2025-07-04,325000.0
KH01414,2025-07-04,916000.0
KH00518,2025-07-04,661000.0
KH00881,2025-07-04,73000.0
KH00466,2025-07-04,239000.0
KH00852,2025-07-04,68000.0
KH00808,2025-07-04,68000.0
KH00445,2025-07-04,120000.0
KH01004,2025-07-04,218000.0
KH00548,2025-07-04,438000.0
KH01500,2025-07-04,73000.0
KH00321,2025-07-04,197000.0
KH00231,2025-07-04,452000.0
KH01975,2025-07-04,424000.0
KH01275,2025-07-04,207000.0
KH00087,2025-07-04,81000.0
KH00937,2025-07-04,155000.0
KH02040,2025-07-04,406000.0
KH01086,2025-07-04,123000.0
KH01767,2025-07-04,407000.0
KH01782,2025-07-04,103000.0
KH01899,2025-07-04,39000.0
KH01042,2025-07-04,379000.0
KH00940,2025-07-04,54000.0
KH02093,2025-07-04,228000.0
KH00933,2025-07-04,185000.0
KH00599,2025-07-04,179000.0
KH01292,2025-07-04,129000.0
KH01963,2025-07-04,208000.0
KH01304,2025-07-04,40000.0
KH00086,2025-07-04,283000.0
KH01201,2025-07-04,108000.0
KH02462,2025-07-04,124000.0
KH01748,2025-07-04,306000.0
KH00887,2025-07-04,216000.0
KH02001,2025-07-04,221000.0
KH01863,2025-07-04,379000.0
KH01086,2025-07-04,250000.0
KH01575,2025-07-04,387000.0
KH00886,2025-07-04,469000.0
KH00588,2025-07-04,45000.0
KH00561,2025-07-04,124000.0
KH00102,2025-07-04,1072000.0
KH01727,2025-07-04,139000.0
KH00863,2025-07-04,271000.0
KH00420,2025-07-04,143000.0
KH01337,2025-07-05,71000.0
KH00535,2025-07-05,194000.0
KH01288,2025-07-05,868000.0
KH00519,2025-07-05,180000.0
KH00407,2025-07-05,125000.0
KH02435,2025-07-05,673000.0
KH02161,2025-07-05,35000.0
KH02185,2025-07-05,245000.0
KH01232,2025-07-05,134000.0
KH00590,2025-07-05,101000.0
KH01364,2025-07-05,143000.0
KH01684,2025-07-05,304000.0
KH01982,2025-07-05,86000.0
KH00235,2025-07-05,434000.0
KH00441,2025-07-05,128000.0
KH00817,2025-07-05,83000.0
KH02175,2025-07-05,466000.0
KH00373,2025-07-05,331000.0
KH02388,2025-07-05,183000.0
KH02108,2025-07-05,508000.0
KH02095,2025-07-05,223000.0
KH00999,2025-07-05,164000.0
KH01965,2025-07-05,173000.0
KH01482,2025-07-05,113000.0
KH00819,2025-07-05,58000.0
KH00499,2025-07-05,72000.0
KH01932,2025-07-05,282000.0
KH00069,2025-07-05,422000.0
KH01402,2025-07-05,1653000.0
KH02060,2025-07-05,180000.0
KH01062,2025-07-05,149000.0
KH02212,2025-07-05,568000.0
KH01595,2025-07-05,82000.0
KH01410,2025-07-05,214000.0
KH01460,2025-07-05,405000.0
KH00273,2025-07-05,142000.0
KH01149,2025-07-05,174000.0
KH00407,2025-07-05,242000.0
KH00732,2025-07-05,460000.0
KH01168,2025-07-05,1012000.0
KH01825,2025-07-05,292000.0
KH02066,2025-07-05,234000.0
KH02050,2025-07-05,172000.0
KH01562,2025-07-05,453000.0
KH01935,2025-07-05,167000.0
KH01292,2025-07-05,107000.0
KH01273,2025-07-05,100000.0
KH00027,2025-07-05,213000.0
KH02078,2025-07-05,526000.0
KH01694,2025-07-05,65000.0
KH00416,2025-07-05,67000.0
KH00641,2025-07-05,81000.0
KH02255,2025-07-05,211000.0
KH02095,2025-07-05,113000.0
KH01584,2025-07-05,41000.0
KH00566,2025-07-05,1325000.0
KH01288,2025-07-05,123000.0
KH01136,2025-07-05,107000.0
KH02083,2025-07-05,85000.0
KH01061,2025-07-05,125000.0
KH01168,2025-07-05,179000.0
KH01507,2025-07-05,162000.0
KH02376,2025-07-05,270000.0
KH00126,2025-07-05,141000.0
KH01251,2025-07-05,58000.0
KH02193,2025-07-05,86000.0
KH01672,2025-07-05,459000.0
KH01134,2025-07-05,71000.0
KH00064,2025-07-05,243000.0
KH00645,2025-07-05,67000.0
KH00621,2025-07-05,290000.0
KH01546,2025-07-05,718000.0
KH00417,2025-07-05,350000.0
KH00468,2025-07-05,290000.0
KH00805,2025-07-05,333000.0
KH01120,2025-07-05,73000.0
KH01647,2025-07-05,132000.0
KH02313,2025-07-05,471000.0
KH00680,2025-07-05,168000.0
KH01349,2025-07-05,314000.0
KH00657,2025-07-05,106000.0
KH02327,2025-07-05,347000.0
KH01242,2025-07-05,195000.0
KH00796,2025-07-05,131000.0
KH01812,2025-07-05,236000.0
KH02473,2025-07-05,607000.0
KH01099,2025-07-05,69000.0
KH01918,2025-07-05,84000.0
KH01066,2025-07-05,120000.0
KH00448,2025-07-05,257000.0
KH01955,2025-07-05,352000.0
KH00187,2025-07-06,594000.0
KH01148,2025-07-06,50000.0
KH02211,2025-07-06,332000.0
KH01836,2025-07-06,48000.0
KH01959,2025-07-06,348000.0
KH00388,2025-07-06,44000.0
KH00278,2025-07-06,88000.0
KH01053,2025-07-06,60000.0
KH00864,2025-07-06,356000.0
KH00889,2025-07-06,186000.0
KH02412,2025-07-06,51000.0
KH00308,2025-07-06,197000.0
KH00706,2025-07-06,123000.0
KH01709,2025-07-06,179000.0
KH00709,2025-07-06,72000.0
KH01318,2025-07-06,233000.0
KH01460,2025-07-06,202000.0
KH01361,2025-07-06,78000.0
KH02126,2025-07-06,66000.0
KH00441,2025-07-06,294000.0
KH01884,2025-07-06,355000.0
KH00194,2025-07-06,375000.0
KH01673,2025-07-06,314000.0
KH00773,2025-07-06,493000.0
KH01700,2025-07-06,237000.0
KH00994,2025-07-06,499000.0
KH01706,2025-07-06,289000.0
KH01055,2025-07-06,47000.0
KH01354,2025-07-06,251000.0
KH00317,2025-07-06,343000.0
KH02117,2025-07-06,901000.0
KH00032,2025-07-06,86000.0
KH01481,2025-07-06,537000.0
KH01412,2025-07-06,33000.0
KH00477,2025-07-06,179000.0
KH00814,2025-07-06,231000.0
KH00278,2025-07-06,331000.0
KH00115,2025-07-06,315000.0
KH02052,2025-07-06,401000.0
KH00523,2025-07-06,162000.0
KH02292,2025-07-06,75000.0
KH02224,2025-07-06,155000.0
KH00832,2025-07-06,180000.0
KH00615,2025-07-06,110000.0
KH00434,2025-07-06,400000.0
KH01306,2025-07-06,388000.0
KH02246,2025-07-06,299000.0
KH01631,2025-07-06,152000.0
KH01773,2025-07-06,217000.0
KH02257,2025-07-06,251000.0
KH01965,2025-07-06,154000.0
KH00465,2025-07-06,534000.0
KH00150,2025-07-06,181000.0
KH01403,2025-07-06,193000.0
KH02071,2025-07-06,120000.0
KH01135,2025-07-06,295000.0
KH01716,2025-07-06,88000.0
KH00720,2025-07-06,509000.0
KH02275,2025-07-06,164000.0
KH01397,2025-07-06,1652000.0
KH00542,2025-07-06,91000.0
KH01954,2025-07-06,132000.0
KH01072,2025-07-06,1072000.0
KH01002,2025-07-06,108000.0
KH02052,2025-07-06,115000.0
KH01463,2025-07-06,151000.0
KH00135,2025-07-06,1065000.0
KH00784,2025-07-06,75000.0
KH01115,2025-07-06,158000.0
KH01326,2025-07-06,99000.0
KH01143,2025-07-06,402000.0
KH00268,2025-07-06,292000.0
KH00854,2025-07-06,393000.0
KH01340,2025-07-06,186000.0
KH02119,2025-07-07,366000.0
KH00013,2025-07-07,321000.0
KH00235,2025-07-07,551000.0
KH00075,2025-07-07,504000.0
KH00721,2025-07-07,126000.0
KH02380,2025-07-07,207000.0
KH00184,2025-07-07,101000.0
KH02166,2025-07-07,325000.0
KH01109,2025-07-07,530000.0
KH02156,2025-07-07,373000.0
KH01190,2025-07-07,651000.0
KH01453,2025-07-07,117000.0
KH01017,2025-07-07,197000.0
KH00413,2025-07-07,75000.0
KH02259,2025-07-07,245000.0
KH00540,2025-07-07,115000.0
KH00254,2025-07-07,51000.0
KH01431,2025-07-07,50000.0
KH01861,2025-07-07,86000.0
KH00679,2025-07-07,318000.0
KH00379,2025-07-07,127000.0
KH00971,2025-07-07,56000.0
KH02271,2025-07-07,224000.0
KH01457,2025-07-07,390000.0
KH02228,2025-07-07,442000.0
KH00519,2025-07-07,94000.0
KH01920,2025-07-07,110000.0
KH01265,2025-07-07,116000.0
KH00552,2025-07-07,192000.0
KH00616,2025-07-07,655000.0
KH00101,2025-07-07,103000.0
KH00786,2025-07-07,108000.0
KH00920,2025-07-07,235000.0
KH01888,2025-07-07,40000.0
KH01029,2025-07-07,141000.0
KH01015,2025-07-07,100000.0
KH00546,2025-07-07,166000.0
KH02142,2025-07-07,446000.0
KH01854,2025-07-07,119000.0
KH00825,2025-07-07,501000.0
KH00406,2025-07-07,337000.0
KH00465,2025-07-07,108000.0
KH00278,2025-07-07,127000.0
KH00613,2025-07-07,210000.0
KH02129,2025-07-07,170000.0
KH00642,2025-07-07,682000.0
KH00211,2025-07-07,1339000.0
KH00119,2025-07-07,248000.0
KH02111,2025-07-07,1067000.0
KH01227,2025-07-07,202000.0
KH01773,2025-07-07,185000.0
KH02103,2025-07-07,369000.0
KH01385,2025-07-07,127000.0
KH01472,2025-07-07,352000.0
KH00546,2025-07-07,101000.0
KH00548,2025-07-07,188000.0
KH01678,2025-07-07,39000.0
KH01765,2025-07-07,73000.0
KH01545,2025-07-07,27000.0
KH00574,2025-07-07,59000.0
KH01798,2025-07-07,402000.0
KH01325,2025-07-07,441000.0
KH00455,2025-07-07,117000.0
KH00055,2025-07-07,73000.0
KH01178,2025-07-07,406000.0
KH02307,2025-07-07,1498000.0
KH00967,2025-07-07,290000.0
KH00750,2025-07-07,178000.0
KH01525,2025-07-07,341000.0
KH00519,2025-07-07,300000.0
KH01853,2025-07-07,256000.0
KH01108,2025-07-07,395000.0
KH01016,2025-07-07,135000.0
KH00359,2025-07-07,208000.0
KH02438,2025-07-07,634000.0
KH01183,2025-07-07,159000.0
KH02124,2025-07-07,720000.0
KH01201,2025-07-07,192000.0
KH00755,2025-07-07,73000.0
KH00014,2025-07-07,335000.0
KH00811,2025-07-07,438000.0
KH01750,2025-07-07,53000.0
KH00460,2025-07-07,526000.0
KH02383,2025-07-08,395000.0
KH01532,2025-07-08,258000.0
KH01122,2025-07-08,915000.0
KH00491,2025-07-08,409000.0
KH02245,2025-07-08,99000.0
KH01059,2025-07-08,34000.0
KH02400,2025-07-08,158000.0
KH02087,2025-07-08,270000.0
KH00646,2025-07-08,188000.0
KH02285,2025-07-08,106000.0
KH01896,2025-07-08,140000.0
KH01747,2025-07-08,113000.0
KH02104,2025-07-08,363000.0
KH00460,2025-07-08,31000.0
KH00547,2025-07-08,176000.0
KH00500,2025-07-08,161000.0
KH00984,2025-07-08,159000.0
KH00462,2025-07-08,404000.0
KH00766,2025-07-08,3559000.0
KH02482,2025-07-08,214000.0
KH02182,2025-07-08,32000.0
KH01234,2025-07-08,59000.0
KH02259,2025-07-08,199000.0
KH01024,2025-07-08,358000.0
KH00831,2025-07-08,184000.0
KH00434,2025-07-08,122000.0
KH02031,2025-07-08,395000.0
KH02193,2025-07-08,243000.0
KH02063,2025-07-08,73000.0
KH00228,2025-07-08,112000.0
KH00248,2025-07-08,100000.0
KH01800,2025-07-08,332000.0
KH01591,2025-07-08,73000.0
KH01773,2025-07-08,92000.0
KH01275,2025-07-08,568000.0
KH00310,2025-07-08,150000.0
KH01091,2025-07-08,207000.0
KH01129,2025-07-08,107000.0
KH00498,2025-07-08,45000.0
KH00428,2025-07-08,189000.0
KH01601,2025-07-08,64000.0
KH01395,2025-07-08,638000.0
KH02037,2025-07-08,116000.0
KH02278,2025-07-08,143000.0
KH01755,2025-07-08,250000.0
KH01205,2025-07-08,269000.0
KH01737,2025-07-08,366000.0
KH00559,2025-07-08,519000.0
KH01489,2025-07-08,173000.0
KH01965,2025-07-08,71000.0
KH00014,2025-07-08,153000.0
KH00263,2025-07-08,120000.0
KH02095,2025-07-08,439000.0
KH00591,2025-07-08,77000.0
KH00114,2025-07-08,222000.0
KH01773,2025-07-08,99000.0
KH01360,2025-07-08,438000.0
KH01786,2025-07-08,1427000.0
KH00914,2025-07-08,498000.0
KH00640,2025-07-08,314000.0
KH01245,2025-07-08,541000.0
KH01940,2025-07-08,777000.0
KH01335,2025-07-08,151000.0
KH01376,2025-07-08,180000.0
KH02083,2025-07-08,611000.0
KH01983,2025-07-08,135000.0
KH00437,2025-07-08,819000.0
KH02285,2025-07-08,149000.0
KH02482,2025-07-08,120000.0
KH01262,2025-07-08,276000.0
KH00582,2025-07-08,54000.0
KH02241,2025-07-08,40000.0
KH00458,2025-07-08,298000.0
KH01513,2025-07-08,105000.0
KH00805,2025-07-08,568000.0
KH00308,2025-07-08,326000.0
KH00040,2025-07-08,1551000.0
KH01624,2025-07-08,55000.0
KH00113,2025-07-08,139000.0
KH02111,2025-07-08,88000.0
KH01929,2025-07-08,268000.0
KH02129,2025-07-08,186000.0
KH01899,2025-07-08,248000.0
KH00776,2025-07-08,176000.0
KH00125,2025-07-08,315000.0
KH00491,2025-07-08,256000.0
KH01100,2025-07-08,724000.0
KH01725,2025-07-08,169000.0
KH01118,2025-07-08,116000.0
KH02040,2025-07-08,263000.0
KH00183,2025-07-08,115000.0
KH02284,2025-07-09,60000.0
KH02169,2025-07-09,151000.0
KH02484,2025-07-09,296000.0
KH02441,2025-07-09,272000.0
KH01647,2025-07-09,822000.0
KH02304,2025-07-09,143000.0
KH00750,2025-07-09,235000.0
KH00936,2025-07-09,300000.0
KH00487,2025-07-09,132000.0
KH02270,2025-07-09,30000.0
KH00337,2025-07-09,637000.0
KH01519,2025-07-09,99000.0
KH02488,2025-07-09,270000.0
KH01772,2025-07-09,186000.0
KH02284,2025-07-09,369000.0
KH02142,2025-07-09,184000.0
KH00849,2025-07-09,180000.0
KH01975,2025-07-09,153000.0
KH01712,2025-07-09,383000.0
KH01124,2025-07-09,221000.0
KH01057,2025-07-09,143000.0
KH00492,2025-07-09,92000.0
KH02235,2025-07-09,215000.0
KH00796,2025-07-09,574000.0
KH01151,2025-07-09,335000.0
KH00681,2025-07-09,119000.0
KH01325,2025-07-09,79000.0
KH01333,2025-07-09,133000.0
KH02277,2025-07-09,97000.0
KH01106,2025-07-09,270000.0
KH01705,2025-07-09,199000.0
KH02496,2025-07-09,253000.0
KH00397,2025-07-09,77000.0
KH01190,2025-07-09,130000.0
KH01432,2025-07-09,340000.0
KH02283,2025-07-09,353000.0
KH01104,2025-07-09,468000.0
KH01408,2025-07-09,268000.0
KH00800,2025-07-09,550000.0
KH01798,2025-07-09,861000.0
KH01851,2025-07-09,619000.0
KH00579,2025-07-09,338000.0
KH00235,2025-07-09,296000.0
KH00170,2025-07-09,401000.0
KH00286,2025-07-09,307000.0
KH00487,2025-07-09,141000.0
KH00005,2025-07-09,114000.0
KH00402,2025-07-09,105000.0
KH00834,2025-07-09,239000.0
KH00473,2025-07-09,124000.0
KH01541,2025-07-09,391000.0
KH02488,2025-07-09,256000.0
KH00328,2025-07-09,124000.0
KH01658,2025-07-09,57000.0
KH02122,2025-07-09,195000.0
KH01408,2025-07-09,104000.0
KH01242,2025-07-09,302000.0
KH00172,2025-07-09,237000.0
KH02320,2025-07-09,276000.0
KH02447,2025-07-09,2227000.0
KH00377,2025-07-09,110000.0
KH00410,2025-07-09,1099000.0
KH01397,2025-07-09,266000.0
KH01764,2025-07-09,366000.0
KH01991,2025-07-09,249000.0
KH00016,2025-07-09,371000.0
KH02148,2025-07-09,163000.0
KH01063,2025-07-09,428000.0
KH02141,2025-07-09,306000.0
KH01381,2025-07-09,527000.0
KH00375,2025-07-09,209000.0
KH01228,2025-07-09,593000.0
KH01404,2025-07-09,195000.0
KH01058,2025-07-09,171000.0
KH02301,2025-07-09,162000.0
KH00527,2025-07-09,176000.0
KH01965,2025-07-09,152000.0
KH02272,2025-07-10,372000.0
KH01333,2025-07-10,1161000.0
KH00100,2025-07-10,313000.0
KH01285,2025-07-10,277000.0
KH01717,2025-07-10,142000.0
KH00286,2025-07-10,156000.0
KH00692,2025-07-10,112000.0
KH02032,2025-07-10,80000.0
KH01848,2025-07-10,343000.0
KH01065,2025-07-10,111000.0
KH02404,2025-07-10,409000.0
KH01075,2025-07-10,100000.0
KH02030,2025-07-10,143000.0
KH00868,2025-07-10,357000.0
KH00364,2025-07-10,121000.0
KH02461,2025-07-10,206000.0
KH00841,2025-07-10,217000.0
KH02476,2025-07-10,82000.0
KH01244,2025-07-10,121000.0
KH01879,2025-07-10,50000.0
KH01309,2025-07-10,300000.0
KH01013,2025-07-10,623000.0
KH01481,2025-07-10,145000.0
KH01351,2025-07-10,99000.0
KH00663,2025-07-10,156000.0
KH00872,2025-07-10,122000.0
KH02273,2025-07-10,88000.0
KH02068,2025-07-10,290000.0
KH01417,2025-07-10,306000.0
KH01536,2025-07-10,545000.0
KH00038,2025-07-10,137000.0
KH01838,2025-07-10,190000.0
KH02064,2025-07-10,143000.0
KH02086,2025-07-10,475000.0
KH01866,2025-07-10,198000.0
KH00070,2025-07-10,201000.0
KH00921,2025-07-10,59000.0
KH00293,2025-07-10,210000.0
KH01649,2025-07-10,118000.0
KH02330,2025-07-10,395000.0
KH02212,2025-07-10,346000.0
KH00049,2025-07-10,388000.0
KH02495,2025-07-10,503000.0
KH02348,2025-07-10,244000.0
KH00458,2025-07-10,154000.0
KH00708,2025-07-10,363000.0
KH00873,2025-07-10,165000.0
KH02075,2025-07-10,519000.0
KH02356,2025-07-10,121000.0
KH00725,2025-07-10,413000.0
KH01106,2025-07-10,64000.0
KH00073,2025-07-10,241000.0
KH00055,2025-07-10,93000.0
KH02016,2025-07-10,122000.0
KH02337,2025-07-10,334000.0
KH00027,2025-07-10,134000.0
KH01808,2025-07-10,70000.0
KH01654,2025-07-10,139000.0
KH00922,2025-07-10,452000.0
KH00064,2025-07-10,148000.0
KH01596,2025-07-10,107000.0
KH01710,2025-07-10,790000.0
KH00816,2025-07-10,70000.0
KH01182,2025-07-10,172000.0
KH01673,2025-07-10,166000.0
KH00386,2025-07-10,348000.0
KH00595,2025-07-10,388000.0
