ma_kh,tuoi,goi_cuoc,khu_vuc,so_thang_su_dung,cuoc_hang_thang,tong_cuoc,so_lan_goi_ho_tro,label
KM00055,37.0,co_ban,Trung,6.0,140.0,840.0,1.0,
KM00056,41.0,co_ban,Bac,6.0,110.0,660.0,5.0,
KM00057,60.0,tieu_chuan,Bac,36.0,270.0,9720.0,1.0,
KM00058,53.0,co_ban,Nam,11.0,110.0,1210.0,2.0,
KM00059,32.0,cao_cap,Nam,63.0,420.0,26460.0,5.0,
KM00060,40.0,co_ban,Bac,69.0,130.0,8970.0,4.0,
KM00061,55.0,tieu_chuan,Nam,9.0,,1980.0,1.0,
KM00062,38.0,tieu_chuan,Nam,23.0,240.0,5520.0,8.0,
KM00063,33.0,co_ban,Nam,53.0,140.0,7420.0,1.0,
KM00064,18.0,co_ban,Nam,9.0,150.0,1350.0,2.0,
KM00065,55.0,cao_cap,Bac,9.0,520.0,4680.0,0.0,
KM00066,41.0,co_ban,Nam,18.0,150.0,2700.0,0.0,
KM00067,31.0,tieu_chuan,Nam,41.0,220.0,9020.0,0.0,
KM00068,27.0,cao_cap,Nam,8.0,670.0,5360.0,2.0,
KM00069,41.0,co_ban,Nam,29.0,100.0,2900.0,1.0,
KM00070,27.0,cao_cap,Nam,14.0,460.0,6440.0,0.0,
KM00071,37.0,tieu_chuan,Bac,8.0,,2400.0,0.0,
KM00072,22.0,co_ban,Bac,3.0,130.0,390.0,1.0,
KM00073,41.0,tieu_chuan,Bac,46.0,200.0,9200.0,10.0,
KM00074,36.0,co_ban,Trung,1.0,110.0,110.0,1.0,
KM00075,28.0,co_ban,Nam,20.0,110.0,2200.0,5.0,
KM00076,34.0,co_ban,Bac,36.0,150.0,5400.0,2.0,
KM00077,22.0,tieu_chuan,Bac,33.0,290.0,9570.0,4.0,
KM00078,29.0,co_ban,Trung,29.0,130.0,3770.0,2.0,
KM00079,31.0,co_ban,Trung,14.0,100.0,1400.0,1.0,
KM00080,45.0,tieu_chuan,Nam,4.0,220.0,880.0,0.0,
KM00081,47.0,cao_cap,Trung,34.0,650.0,22100.0,2.0,
KM00082,45.0,co_ban,Trung,21.0,110.0,2310.0,2.0,
KM00083,32.0,cao_cap,Nam,5.0,420.0,2100.0,0.0,
KM00084,30.0,tieu_chuan,Bac,70.0,270.0,18900.0,0.0,
KM00085,36.0,tieu_chuan,Nam,7.0,320.0,2240.0,1.0,
KM00086,55.0,cao_cap,Trung,18.0,550.0,9900.0,0.0,
KM00087,35.0,tieu_chuan,Nam,24.0,270.0,6480.0,2.0,
KM00088,33.0,co_ban,Nam,3.0,150.0,450.0,3.0,
KM00089,35.0,co_ban,Bac,15.0,130.0,1950.0,1.0,
KM00090,34.0,cao_cap,Nam,8.0,610.0,4880.0,6.0,
KM00091,35.0,tieu_chuan,Bac,36.0,310.0,11160.0,1.0,
KM00092,33.0,tieu_chuan,Trung,5.0,280.0,1400.0,0.0,
KM00093,34.0,co_ban,Nam,88.0,,9680.0,2.0,
KM00094,41.0,cao_cap,Nam,3.0,540.0,1620.0,0.0,
KM00095,48.0,tieu_chuan,Nam,5.0,290.0,1450.0,8.0,
KM00096,33.0,tieu_chuan,Trung,1.0,240.0,240.0,1.0,
KM00097,52.0,cao_cap,Trung,21.0,570.0,11970.0,2.0,
KM00098,55.0,tieu_chuan,Trung,2.0,220.0,440.0,3.0,
KM00099,46.0,tieu_chuan,Nam,35.0,220.0,7700.0,1.0,
KM00100,45.0,co_ban,Bac,11.0,130.0,1430.0,0.0,
KM00101,20.0,cao_cap,Nam,9.0,670.0,6030.0,1.0,
KM00102,25.0,cao_cap,Trung,19.0,480.0,9120.0,7.0,
KM00103,29.0,co_ban,Nam,17.0,150.0,2550.0,2.0,
KM00104,44.0,co_ban,Bac,14.0,130.0,1820.0,5.0,
KM00105,41.0,tieu_chuan,Nam,25.0,270.0,6750.0,5.0,
KM00106,43.0,cao_cap,Bac,14.0,540.0,7560.0,4.0,
KM00107,41.0,co_ban,Nam,33.0,130.0,4290.0,1.0,
KM00108,18.0,co_ban,Bac,32.0,110.0,3520.0,1.0,
KM00109,24.0,cao_cap,Nam,23.0,650.0,14950.0,0.0,
KM00110,19.0,tieu_chuan,Bac,10.0,230.0,2300.0,0.0,
KM00111,33.0,cao_cap,Bac,12.0,520.0,6240.0,7.0,
KM00112,50.0,cao_cap,Nam,45.0,600.0,27000.0,0.0,
KM00113,25.0,co_ban,Nam,40.0,120.0,4800.0,1.0,
KM00114,57.0,tieu_chuan,Trung,9.0,230.0,2070.0,7.0,
KM00115,39.0,cao_cap,Trung,7.0,520.0,3640.0,0.0,
KM00116,30.0,co_ban,Nam,4.0,140.0,560.0,1.0,
KM00117,55.0,cao_cap,Bac,7.0,550.0,3850.0,2.0,
KM00118,57.0,tieu_chuan,Bac,15.0,290.0,4350.0,1.0,
KM00119,34.0,tieu_chuan,Nam,37.0,290.0,10730.0,5.0,
KM00120,53.0,tieu_chuan,Trung,27.0,320.0,8640.0,6.0,
KM00121,20.0,co_ban,Nam,65.0,120.0,7800.0,2.0,
KM00122,45.0,co_ban,Bac,74.0,110.0,8140.0,0.0,
KM00123,51.0,cao_cap,Trung,4.0,590.0,2360.0,2.0,
KM00124,42.0,tieu_chuan,Trung,5.0,260.0,1300.0,2.0,
KM00125,55.0,tieu_chuan,Nam,2.0,290.0,580.0,0.0,
KM00126,43.0,tieu_chuan,Nam,44.0,,14080.0,1.0,
KM00127,25.0,co_ban,Nam,78.0,100.0,7800.0,2.0,
KM00128,40.0,tieu_chuan,Nam,58.0,200.0,11600.0,0.0,
KM00129,44.0,co_ban,Bac,55.0,140.0,7700.0,3.0,
KM00130,46.0,co_ban,Bac,38.0,130.0,4940.0,2.0,
KM00131,48.0,co_ban,Nam,35.0,100.0,3500.0,2.0,
KM00132,42.0,co_ban,Bac,1.0,150.0,150.0,0.0,
KM00133,43.0,co_ban,Nam,7.0,140.0,980.0,1.0,
KM00134,34.0,co_ban,Nam,23.0,120.0,2760.0,9.0,
KM00135,28.0,tieu_chuan,Trung,37.0,260.0,9620.0,2.0,
KM00136,38.0,tieu_chuan,Nam,40.0,300.0,12000.0,1.0,
KM00137,31.0,tieu_chuan,Trung,1.0,250.0,250.0,1.0,
KM00138,44.0,tieu_chuan,Bac,1.0,210.0,210.0,1.0,
KM00139,28.0,tieu_chuan,Nam,26.0,260.0,6760.0,0.0,
KM00140,56.0,tieu_chuan,Trung,8.0,240.0,1920.0,2.0,
KM00141,45.0,co_ban,Bac,24.0,120.0,2880.0,0.0,
KM00142,46.0,cao_cap,Nam,38.0,660.0,25080.0,0.0,
KM00143,41.0,tieu_chuan,Bac,4.0,310.0,1240.0,6.0,
KM00144,51.0,tieu_chuan,Nam,7.0,260.0,1820.0,2.0,
KM00145,55.0,co_ban,Nam,34.0,120.0,4080.0,4.0,
KM00146,47.0,co_ban,Bac,4.0,110.0,440.0,1.0,
KM00147,46.0,co_ban,Bac,18.0,150.0,2700.0,0.0,
KM00148,18.0,tieu_chuan,Nam,69.0,210.0,14490.0,2.0,
KM00149,53.0,co_ban,Bac,2.0,140.0,280.0,1.0,
KM00150,53.0,co_ban,Trung,11.0,100.0,1100.0,3.0,
KM00151,52.0,tieu_chuan,Nam,3.0,200.0,600.0,7.0,
KM00152,42.0,co_ban,Bac,16.0,100.0,1600.0,0.0,
KM00153,69.0,tieu_chuan,Bac,25.0,200.0,5000.0,1.0,
KM00154,32.0,cao_cap,Nam,28.0,550.0,15400.0,2.0,
KM00155,39.0,co_ban,Trung,13.0,110.0,1430.0,9.0,
KM00156,44.0,co_ban,Bac,5.0,140.0,700.0,2.0,
KM00157,31.0,cao_cap,Nam,8.0,600.0,4800.0,1.0,
KM00158,40.0,tieu_chuan,Bac,14.0,230.0,3220.0,0.0,
KM00159,33.0,tieu_chuan,Bac,27.0,240.0,6480.0,0.0,
KM00160,59.0,tieu_chuan,Trung,120.0,210.0,25200.0,2.0,
KM00161,35.0,co_ban,Trung,7.0,140.0,980.0,3.0,
KM00162,20.0,co_ban,Nam,4.0,150.0,600.0,2.0,
KM00163,42.0,tieu_chuan,Bac,2.0,210.0,420.0,0.0,
KM00164,32.0,co_ban,Bac,15.0,110.0,1650.0,0.0,
KM00165,66.0,cao_cap,Bac,8.0,620.0,4960.0,1.0,
KM00166,58.0,cao_cap,Bac,16.0,440.0,7040.0,2.0,
KM00167,22.0,tieu_chuan,Bac,44.0,300.0,13200.0,1.0,
KM00168,33.0,co_ban,Nam,8.0,130.0,1040.0,1.0,
KM00169,54.0,cao_cap,Bac,3.0,430.0,1290.0,0.0,
KM00170,52.0,co_ban,Trung,13.0,150.0,1950.0,1.0,
KM00171,34.0,co_ban,Nam,7.0,130.0,910.0,2.0,
KM00172,36.0,co_ban,Bac,5.0,140.0,700.0,0.0,
KM00173,26.0,co_ban,Bac,6.0,150.0,900.0,6.0,
KM00174,42.0,cao_cap,Nam,1.0,580.0,580.0,0.0,
KM00175,39.0,co_ban,Bac,14.0,130.0,1820.0,2.0,
KM00176,31.0,co_ban,Bac,13.0,100.0,1300.0,3.0,
KM00177,66.0,co_ban,Trung,1.0,130.0,130.0,4.0,
KM00178,30.0,tieu_chuan,Nam,33.0,220.0,7260.0,3.0,
KM00179,38.0,tieu_chuan,Trung,7.0,300.0,2100.0,0.0,
KM00180,43.0,tieu_chuan,Nam,1.0,220.0,220.0,1.0,
KM00181,20.0,tieu_chuan,Bac,20.0,270.0,5400.0,2.0,
KM00182,51.0,co_ban,Trung,40.0,120.0,4800.0,1.0,
KM00183,44.0,co_ban,Bac,2.0,120.0,240.0,3.0,
KM00184,30.0,tieu_chuan,Nam,10.0,310.0,3100.0,0.0,
KM00185,42.0,tieu_chuan,Bac,36.0,270.0,9720.0,1.0,
KM00186,34.0,co_ban,Bac,44.0,140.0,6160.0,1.0,
KM00187,18.0,co_ban,Bac,4.0,130.0,520.0,0.0,
KM00188,54.0,tieu_chuan,Bac,35.0,230.0,8050.0,0.0,
KM00189,42.0,tieu_chuan,Trung,30.0,310.0,9300.0,1.0,
KM00190,34.0,co_ban,Trung,104.0,160.0,16640.0,2.0,
KM00191,49.0,tieu_chuan,Trung,20.0,,4400.0,3.0,
KM00192,26.0,cao_cap,Trung,22.0,450.0,9900.0,2.0,
KM00193,47.0,cao_cap,Trung,10.0,440.0,4400.0,1.0,
KM00194,41.0,cao_cap,Nam,38.0,630.0,23940.0,3.0,
KM00195,29.0,co_ban,Nam,9.0,150.0,1350.0,0.0,
KM00196,37.0,tieu_chuan,Bac,9.0,290.0,2610.0,0.0,
KM00197,39.0,co_ban,Bac,14.0,150.0,2100.0,1.0,
KM00198,54.0,co_ban,Nam,4.0,130.0,520.0,1.0,
KM00199,33.0,tieu_chuan,Bac,23.0,230.0,5290.0,0.0,
KM00200,46.0,co_ban,Bac,24.0,110.0,2640.0,2.0,
KM00201,28.0,cao_cap,Nam,23.0,650.0,14950.0,0.0,
KM00202,37.0,tieu_chuan,Nam,2.0,240.0,480.0,1.0,
KM00203,40.0,co_ban,Trung,37.0,130.0,4810.0,0.0,
KM00204,44.0,co_ban,Bac,95.0,100.0,9500.0,0.0,
KM00205,45.0,co_ban,Nam,19.0,150.0,2850.0,7.0,
KM00206,18.0,cao_cap,Nam,6.0,580.0,3480.0,0.0,
KM00207,52.0,tieu_chuan,Nam,62.0,310.0,19220.0,1.0,
KM00208,43.0,tieu_chuan,Nam,37.0,320.0,11840.0,2.0,
KM00209,47.0,tieu_chuan,Bac,5.0,230.0,1150.0,2.0,
KM00210,60.0,co_ban,Bac,2.0,130.0,260.0,1.0,
KM00211,48.0,cao_cap,Trung,15.0,490.0,7350.0,1.0,
KM00212,27.0,co_ban,Bac,6.0,100.0,600.0,1.0,
KM00213,49.0,co_ban,Bac,9.0,130.0,1170.0,3.0,
KM00214,35.0,tieu_chuan,Nam,4.0,220.0,880.0,0.0,
KM00215,56.0,tieu_chuan,Bac,7.0,260.0,1820.0,2.0,
KM00216,23.0,co_ban,Bac,12.0,100.0,1200.0,0.0,
KM00217,60.0,tieu_chuan,Nam,5.0,260.0,1300.0,1.0,
KM00218,58.0,co_ban,Bac,22.0,140.0,3080.0,0.0,
KM00219,37.0,co_ban,Trung,3.0,130.0,390.0,5.0,
KM00220,38.0,tieu_chuan,Trung,17.0,270.0,4590.0,1.0,
KM00221,32.0,co_ban,Nam,10.0,110.0,1100.0,4.0,
KM00222,40.0,tieu_chuan,Bac,6.0,200.0,1200.0,0.0,
KM00223,38.0,cao_cap,Trung,39.0,600.0,23400.0,0.0,
KM00224,36.0,tieu_chuan,Bac,26.0,270.0,7020.0,2.0,
KM00225,50.0,tieu_chuan,Nam,28.0,280.0,7840.0,1.0,
KM00226,33.0,tieu_chuan,Bac,26.0,270.0,7020.0,0.0,
KM00227,41.0,co_ban,Nam,36.0,120.0,4320.0,0.0,
KM00228,40.0,tieu_chuan,Bac,3.0,250.0,750.0,0.0,
KM00229,42.0,cao_cap,Bac,1.0,540.0,540.0,2.0,
KM00230,35.0,tieu_chuan,Nam,67.0,260.0,17420.0,0.0,
KM00231,36.0,co_ban,Bac,1.0,140.0,140.0,0.0,
KM00232,35.0,co_ban,Nam,69.0,100.0,6900.0,1.0,
KM00233,49.0,co_ban,Bac,13.0,130.0,1690.0,1.0,
KM00234,47.0,cao_cap,Nam,31.0,560.0,17360.0,0.0,
KM00235,58.0,tieu_chuan,Trung,43.0,310.0,13330.0,4.0,
KM00236,34.0,tieu_chuan,Nam,11.0,320.0,3520.0,4.0,
KM00237,39.0,co_ban,Bac,2.0,120.0,240.0,0.0,
KM00238,45.0,tieu_chuan,Nam,12.0,220.0,2640.0,1.0,
KM00239,33.0,co_ban,Bac,17.0,110.0,1870.0,1.0,
KM00240,,tieu_chuan,Bac,36.0,220.0,7920.0,1.0,
KM00241,45.0,tieu_chuan,Trung,23.0,240.0,5520.0,0.0,
KM00242,45.0,cao_cap,Trung,4.0,600.0,2400.0,1.0,
KM00243,33.0,co_ban,Bac,23.0,160.0,3680.0,0.0,
KM00244,48.0,co_ban,Nam,30.0,120.0,3600.0,1.0,
KM00245,44.0,co_ban,Nam,17.0,130.0,2210.0,1.0,
KM00246,18.0,co_ban,Bac,75.0,100.0,7500.0,3.0,
KM00247,35.0,cao_cap,Nam,3.0,480.0,1440.0,1.0,
KM00248,47.0,cao_cap,Trung,5.0,450.0,2250.0,1.0,
KM00249,38.0,cao_cap,Bac,1.0,630.0,630.0,8.0,
KM00250,37.0,tieu_chuan,Nam,38.0,200.0,7600.0,1.0,
KM00251,57.0,tieu_chuan,Bac,10.0,250.0,2500.0,1.0,
KM00252,40.0,co_ban,Nam,2.0,110.0,220.0,0.0,
KM00253,66.0,tieu_chuan,Nam,33.0,240.0,7920.0,1.0,
KM00254,35.0,cao_cap,Bac,2.0,590.0,1180.0,1.0,
KM00255,18.0,cao_cap,Bac,64.0,620.0,39680.0,0.0,
KM00256,31.0,cao_cap,Bac,26.0,530.0,13780.0,1.0,
KM00257,20.0,tieu_chuan,Nam,37.0,280.0,10360.0,0.0,
KM00258,25.0,tieu_chuan,Trung,45.0,200.0,9000.0,0.0,
KM00259,33.0,cao_cap,Bac,5.0,460.0,2300.0,0.0,
KM00260,25.0,co_ban,Trung,7.0,150.0,1050.0,3.0,
KM00261,41.0,cao_cap,Nam,21.0,500.0,10500.0,1.0,
KM00262,43.0,co_ban,Nam,9.0,100.0,900.0,3.0,
KM00263,36.0,tieu_chuan,Nam,11.0,290.0,3190.0,2.0,
KM00264,20.0,co_ban,Nam,2.0,110.0,220.0,0.0,
KM00265,39.0,cao_cap,Bac,3.0,550.0,1650.0,0.0,
KM00266,48.0,tieu_chuan,Nam,63.0,320.0,20160.0,0.0,
KM00267,29.0,tieu_chuan,Nam,116.0,260.0,30160.0,2.0,
KM00268,18.0,tieu_chuan,Trung,30.0,240.0,7200.0,1.0,
KM00269,21.0,co_ban,Bac,29.0,140.0,4060.0,2.0,
KM00270,43.0,tieu_chuan,Bac,56.0,200.0,11200.0,2.0,
KM00271,22.0,co_ban,Bac,3.0,130.0,390.0,3.0,
KM00272,33.0,co_ban,Nam,25.0,160.0,4000.0,1.0,
KM00273,18.0,co_ban,Bac,65.0,140.0,9100.0,9.0,
KM00274,47.0,co_ban,Bac,16.0,150.0,2400.0,1.0,
KM00275,36.0,cao_cap,Nam,25.0,520.0,13000.0,5.0,
KM00276,42.0,co_ban,Bac,29.0,110.0,3190.0,9.0,
KM00277,34.0,tieu_chuan,Nam,43.0,320.0,13760.0,1.0,
KM00278,40.0,co_ban,Nam,30.0,100.0,3000.0,3.0,
KM00279,43.0,cao_cap,Bac,45.0,550.0,24750.0,2.0,
KM00280,41.0,cao_cap,Nam,25.0,440.0,11000.0,2.0,
KM00281,30.0,co_ban,Bac,21.0,130.0,2730.0,0.0,
KM00282,23.0,tieu_chuan,Bac,26.0,320.0,8320.0,3.0,
KM00283,27.0,co_ban,Nam,7.0,160.0,1120.0,0.0,
KM00284,63.0,tieu_chuan,Bac,21.0,300.0,6300.0,0.0,
KM00285,39.0,cao_cap,Trung,7.0,470.0,3290.0,1.0,
KM00286,44.0,tieu_chuan,Bac,1.0,260.0,260.0,5.0,
KM00287,29.0,cao_cap,Bac,37.0,590.0,21830.0,3.0,
KM00288,30.0,tieu_chuan,Bac,15.0,240.0,3600.0,0.0,
KM00289,29.0,co_ban,Nam,6.0,100.0,600.0,1.0,
KM00290,37.0,cao_cap,Trung,120.0,590.0,70800.0,7.0,
KM00291,50.0,tieu_chuan,Nam,7.0,250.0,1750.0,4.0,
KM00292,18.0,tieu_chuan,Trung,19.0,290.0,5510.0,1.0,
KM00293,48.0,co_ban,Trung,20.0,150.0,3000.0,1.0,
KM00294,32.0,tieu_chuan,Nam,13.0,320.0,4160.0,2.0,
KM00295,65.0,co_ban,Nam,4.0,120.0,480.0,0.0,
KM00296,29.0,co_ban,Bac,1.0,130.0,130.0,1.0,
KM00297,37.0,co_ban,Bac,54.0,110.0,5940.0,6.0,
KM00298,25.0,co_ban,Nam,39.0,140.0,5460.0,1.0,
KM00299,37.0,cao_cap,Nam,10.0,500.0,5000.0,2.0,
KM00300,31.0,tieu_chuan,Trung,12.0,290.0,3480.0,1.0,
KM00301,58.0,co_ban,Nam,32.0,150.0,4800.0,0.0,
KM00302,34.0,tieu_chuan,Bac,10.0,310.0,3100.0,1.0,
KM00303,57.0,co_ban,Bac,5.0,150.0,750.0,0.0,
KM00304,44.0,co_ban,Nam,18.0,110.0,1980.0,0.0,
KM00305,31.0,tieu_chuan,Bac,22.0,280.0,6160.0,5.0,
KM00306,52.0,tieu_chuan,Trung,8.0,240.0,1920.0,4.0,
KM00307,44.0,tieu_chuan,Nam,77.0,260.0,20020.0,0.0,
KM00308,43.0,tieu_chuan,Nam,11.0,210.0,2310.0,2.0,
KM00309,52.0,tieu_chuan,Bac,6.0,270.0,1620.0,0.0,
KM00310,29.0,co_ban,Bac,38.0,100.0,3800.0,2.0,
KM00311,41.0,tieu_chuan,Nam,42.0,210.0,8820.0,1.0,
KM00312,18.0,tieu_chuan,Nam,20.0,250.0,5000.0,2.0,
KM00313,20.0,co_ban,Trung,48.0,100.0,4800.0,2.0,
KM00314,59.0,co_ban,Nam,16.0,100.0,1600.0,5.0,
KM00315,40.0,co_ban,Nam,1.0,130.0,130.0,1.0,
KM00316,,tieu_chuan,Nam,11.0,220.0,2420.0,1.0,
KM00317,50.0,tieu_chuan,Nam,5.0,240.0,1200.0,0.0,
KM00318,41.0,cao_cap,Bac,13.0,540.0,7020.0,2.0,
KM00319,38.0,tieu_chuan,Nam,18.0,310.0,5580.0,0.0,
KM00320,22.0,cao_cap,Nam,59.0,630.0,37170.0,0.0,
KM00321,31.0,co_ban,Bac,8.0,130.0,1040.0,0.0,
KM00322,34.0,tieu_chuan,Trung,1.0,240.0,240.0,0.0,
KM00323,24.0,co_ban,Bac,3.0,140.0,420.0,2.0,
KM00324,54.0,cao_cap,Nam,14.0,640.0,8960.0,1.0,
KM00325,51.0,co_ban,Bac,15.0,100.0,1500.0,2.0,
KM00326,34.0,tieu_chuan,Nam,3.0,280.0,840.0,0.0,
KM00327,42.0,co_ban,Nam,16.0,100.0,1600.0,0.0,
KM00328,38.0,cao_cap,Nam,61.0,490.0,29890.0,1.0,
KM00329,37.0,co_ban,Bac,24.0,110.0,2640.0,3.0,
KM00330,32.0,co_ban,Nam,21.0,140.0,2940.0,4.0,
KM00331,42.0,tieu_chuan,Trung,17.0,,4080.0,1.0,
KM00332,26.0,co_ban,Nam,19.0,130.0,2470.0,2.0,
KM00333,38.0,tieu_chuan,Bac,37.0,240.0,8880.0,1.0,
KM00334,44.0,co_ban,Trung,18.0,140.0,2520.0,0.0,
KM00335,49.0,tieu_chuan,Nam,50.0,300.0,15000.0,2.0,
KM00336,37.0,cao_cap,Nam,78.0,630.0,49140.0,1.0,
KM00337,24.0,co_ban,Trung,2.0,150.0,300.0,1.0,
KM00338,43.0,tieu_chuan,Nam,2.0,240.0,480.0,3.0,
KM00339,28.0,cao_cap,Nam,55.0,450.0,24750.0,12.0,
KM00340,30.0,tieu_chuan,Trung,15.0,250.0,3750.0,1.0,
KM00341,31.0,co_ban,Trung,108.0,150.0,16200.0,2.0,
KM00342,65.0,co_ban,Bac,29.0,100.0,2900.0,0.0,
KM00343,45.0,co_ban,Bac,18.0,130.0,2340.0,5.0,
KM00344,59.0,tieu_chuan,Nam,15.0,250.0,3750.0,0.0,
KM00345,29.0,cao_cap,Bac,1.0,470.0,470.0,8.0,
KM00346,21.0,co_ban,Nam,23.0,100.0,2300.0,0.0,
KM00347,38.0,co_ban,Bac,96.0,140.0,13440.0,8.0,
KM00348,31.0,cao_cap,Trung,11.0,580.0,6380.0,2.0,
KM00349,34.0,tieu_chuan,Trung,3.0,240.0,720.0,1.0,
KM00350,26.0,tieu_chuan,Bac,53.0,320.0,16960.0,1.0,
KM00351,48.0,co_ban,Trung,12.0,130.0,1560.0,3.0,
KM00352,36.0,co_ban,Bac,17.0,140.0,2380.0,0.0,
KM00353,40.0,co_ban,Bac,8.0,120.0,960.0,0.0,
KM00354,40.0,tieu_chuan,Nam,10.0,220.0,2200.0,1.0,
KM00355,43.0,co_ban,Bac,81.0,120.0,9720.0,1.0,
KM00356,77.0,co_ban,Bac,43.0,110.0,4730.0,0.0,
KM00357,52.0,tieu_chuan,Trung,7.0,230.0,1610.0,3.0,
KM00358,24.0,co_ban,Nam,78.0,110.0,8580.0,10.0,
KM00359,55.0,co_ban,Bac,24.0,150.0,3600.0,8.0,
KM00360,64.0,tieu_chuan,Trung,17.0,310.0,5270.0,0.0,
KM00361,44.0,tieu_chuan,Nam,45.0,250.0,11250.0,5.0,
KM00362,42.0,cao_cap,Bac,16.0,580.0,9280.0,0.0,
KM00363,29.0,tieu_chuan,Trung,26.0,240.0,6240.0,5.0,
KM00364,27.0,co_ban,Trung,15.0,150.0,2250.0,0.0,
KM00365,19.0,co_ban,Trung,10.0,140.0,1400.0,2.0,
KM00366,50.0,tieu_chuan,Nam,18.0,230.0,4140.0,3.0,
KM00367,44.0,tieu_chuan,Bac,4.0,230.0,920.0,1.0,
KM00368,35.0,tieu_chuan,Nam,10.0,220.0,2200.0,2.0,
KM00369,33.0,co_ban,Bac,54.0,150.0,8100.0,0.0,
KM00370,44.0,tieu_chuan,Trung,29.0,280.0,8120.0,3.0,
KM00371,37.0,tieu_chuan,Trung,1.0,220.0,220.0,3.0,
KM00372,33.0,co_ban,Bac,27.0,130.0,3510.0,1.0,
KM00373,42.0,tieu_chuan,Nam,40.0,260.0,10400.0,3.0,
KM00374,37.0,tieu_chuan,Trung,18.0,210.0,3780.0,2.0,
